NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	16.46	15.90	0.56	0.00	0.00
2	4	2	108	27.96	24.28	3.30	0.39	0.00
3	9	3	250	44.15	34.22	9.33	0.60	0.00
4	16	4	482	62.66	42.35	19.70	0.61	0.00
5	25	5	825	77.28	49.20	27.51	0.56	0.00
6	36	6	1296	101.98	60.40	40.81	0.77	0.00
7	49	7	1918	129.48	72.09	56.33	1.06	0.00
8	64	8	2712	197.87	89.71	106.52	1.63	0.00
9	81	9	3701	259.67	105.48	152.04	2.15	0.00
10	100	10	4903	307.38	114.36	190.27	2.74	0.00
11	121	11	6322	418.19	142.29	272.45	3.45	0.00
12	144	12	8020	533.60	175.56	353.50	4.53	0.00
13	169	13	9987	744.81	198.76	540.25	5.80	0.00
14	196	14	12254	901.44	260.65	634.17	6.62	0.00
15	225	15	14837	1225.84	272.91	944.95	7.98	0.00
