NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	32.78	29.63	3.15	0.00	0.00
2	4	2	36	53.00	50.03	2.61	0.37	0.00
3	9	3	64	69.19	66.01	2.88	0.29	0.00
4	16	4	100	122.66	118.90	3.42	0.34	0.00
5	25	5	144	212.81	207.84	4.52	0.45	0.00
6	36	6	196	354.72	346.78	7.14	0.80	0.00
7	49	7	256	428.54	417.03	10.27	1.24	0.00
8	64	8	324	626.93	609.43	15.32	2.18	0.00
9	81	9	400	737.65	712.06	22.09	3.50	0.00
10	100	10	484	959.39	926.76	28.23	4.40	0.00
11	121	11	576	1267.10	1218.19	41.20	7.71	0.00
12	144	12	676	1996.59	1930.81	54.54	11.24	0.00
13	169	13	784	2603.73	2513.95	73.72	16.06	0.00
14	196	14	900	2963.50	2853.89	90.73	18.88	0.00
15	225	15	1024	3598.61	3458.54	114.97	25.10	0.00
