NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	4	4	15	22.97	19.49	2.95	0.53	0.00
1	1	1	8	9.67	8.73	0.94	0.00	0.00
1	8	8	15	11.26	9.95	1.08	0.23	0.00
2	4	4	15	9.83	8.71	0.94	0.18	0.00
1	5	5	24	15.72	14.37	1.22	0.13	0.00
2	7	7	24	13.73	12.26	1.29	0.18	0.00
1	1	1	8	7.64	7.11	0.53	0.00	0.00
2	4	4	15	6.66	5.71	0.83	0.13	0.00
3	8	8	57	31.67	29.56	1.93	0.19	0.00
1	2	2	6	6.78	6.37	0.35	0.07	0.00
2	4	4	15	5.34	4.63	0.61	0.09	0.00
1	14	14	24	9.25	8.30	0.84	0.12	0.00
1	8	8	15	4.89	4.30	0.51	0.08	0.00
1	32	32	102	55.03	52.04	2.76	0.23	0.00
1	160	160	306	78.30	70.27	7.39	0.64	0.00
1	30	30	96	57.18	54.69	2.33	0.16	0.00
1	30	30	96	56.72	54.31	2.24	0.16	0.00
2	4	4	15	3.85	3.35	0.43	0.06	0.00
2	4	4	15	3.76	3.25	0.44	0.07	0.00
2	4	4	15	4.12	3.62	0.44	0.06	0.00
2	4	4	15	3.64	3.15	0.43	0.06	0.00
1	2	2	12	6.53	6.11	0.37	0.04	0.00
2	4	4	15	3.80	3.29	0.44	0.06	0.00
1	8	8	15	3.97	3.48	0.42	0.06	0.00
1	8	8	15	3.91	3.41	0.44	0.06	0.00
3	7	7	53	11.82	10.31	1.41	0.10	0.00
1	1	1	8	2.50	2.28	0.22	0.00	0.00
2	3	3	18	4.47	3.93	0.49	0.05	0.00
2	4	4	15	4.53	4.06	0.41	0.06	0.00
1	8	8	15	4.21	3.67	0.47	0.07	0.00
2	5	5	24	7.39	6.72	0.62	0.05	0.00
2	4	4	15	4.09	3.55	0.47	0.06	0.00
2	4	4	15	4.16	3.64	0.46	0.06	0.00
2	4	4	15	4.23	3.72	0.45	0.06	0.00
1	14	14	24	8.95	8.11	0.75	0.10	0.00
1	8	8	15	5.68	5.08	0.53	0.07	0.00
1	8	8	15	4.13	3.62	0.44	0.06	0.00
3	7	7	46	8.81	7.52	1.20	0.09	0.00
2	7	7	24	7.52	6.82	0.62	0.08	0.00
1	8	8	15	3.99	3.51	0.42	0.06	0.00
1	8	8	15	4.31	3.78	0.46	0.07	0.00
2	6	6	24	8.56	7.90	0.61	0.05	0.00
2	6	6	24	8.28	7.61	0.62	0.06	0.00
1	8	8	15	4.40	3.87	0.46	0.07	0.00
2	6	6	24	8.48	7.80	0.63	0.05	0.00
2	6	6	24	10.12	9.40	0.67	0.05	0.00
2	6	6	24	9.28	8.61	0.61	0.05	0.00
2	6	6	24	8.76	8.09	0.62	0.05	0.00
2	6	6	24	8.60	7.93	0.63	0.05	0.00
2	6	6	24	10.89	10.07	0.75	0.07	0.00
2	6	6	24	8.70	8.00	0.65	0.05	0.00
2	6	6	24	7.98	7.32	0.61	0.05	0.00
2	6	6	24	8.04	7.39	0.60	0.05	0.00
2	6	6	24	8.69	8.01	0.63	0.05	0.00
2	6	6	24	7.67	6.99	0.62	0.05	0.00
2	6	6	24	8.71	8.05	0.61	0.05	0.00
1	8	8	15	3.42	2.97	0.40	0.05	0.00
1	8	8	15	3.89	3.43	0.41	0.05	0.00
1	8	8	15	4.46	3.93	0.47	0.06	0.00
1	8	8	15	4.10	3.56	0.48	0.06	0.00
2	4	4	15	4.29	3.76	0.48	0.05	0.00
3	7	7	53	10.52	9.18	1.26	0.08	0.00
2	4	4	15	3.46	3.04	0.38	0.04	0.00
1	1	1	8	2.16	1.95	0.21	0.00	0.00
2	7	7	24	8.53	7.79	0.67	0.07	0.00
2	7	7	24	9.29	8.50	0.71	0.08	0.00
2	7	7	24	7.69	7.03	0.59	0.06	0.00
1	1	1	8	2.67	2.47	0.21	0.00	0.00
1	1	1	8	2.58	2.38	0.20	0.00	0.00
1	1	1	8	2.73	2.53	0.21	0.00	0.00
2	7	7	24	8.54	7.87	0.61	0.06	0.00
2	7	7	24	8.34	7.65	0.62	0.07	0.00
2	7	7	24	8.07	7.43	0.59	0.06	0.00
2	7	7	24	8.21	7.53	0.62	0.07	0.00
2	7	7	24	7.99	7.33	0.60	0.06	0.00
2	7	7	24	8.28	7.59	0.62	0.07	0.00
2	7	7	24	7.73	7.06	0.60	0.06	0.00
2	7	7	24	7.86	7.21	0.59	0.06	0.00
2	10	10	36	13.68	12.59	1.00	0.09	0.00
1	1	1	12	5.97	5.57	0.40	0.00	0.00
2	4	4	15	5.13	4.64	0.44	0.05	0.00
2	7	7	24	8.16	7.49	0.61	0.06	0.00
2	4	4	15	4.25	3.81	0.40	0.05	0.00
2	7	7	24	8.15	7.48	0.61	0.07	0.00
1	1	1	8	2.57	2.37	0.20	0.00	0.00
2	7	7	24	8.15	7.48	0.61	0.06	0.00
2	7	7	24	8.45	7.76	0.62	0.07	0.00
3	7	7	54	12.80	11.42	1.30	0.08	0.00
2	7	7	24	8.05	7.39	0.60	0.06	0.00
2	7	7	24	8.30	7.62	0.61	0.07	0.00
