NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	31.87	26.00	5.87	0.00	0.00
2	4	2	108	49.58	40.08	9.21	0.29	0.00
3	9	3	250	64.22	46.39	17.56	0.27	0.00
4	16	4	482	102.09	69.71	32.04	0.33	0.00
5	25	5	825	178.02	115.80	61.78	0.44	0.00
6	36	6	1296	305.01	183.95	120.40	0.66	0.00
7	49	7	1918	437.82	227.70	209.20	0.92	0.00
8	64	8	2712	713.03	322.35	389.11	1.57	0.00
9	81	9	3701	1066.97	404.57	652.38	10.01	0.00
10	100	10	4903	1477.91	511.75	963.63	2.53	0.00
11	121	11	6322	2190.18	674.74	1511.99	3.45	0.00
12	144	12	8020	3252.35	1022.27	2225.82	4.26	0.00
13	169	13	9987	4494.76	1317.15	3172.17	5.44	0.00
14	196	14	12254	6073.80	1481.13	4585.78	6.88	0.00
15	225	15	14837	8166.20	1769.86	6388.58	7.76	0.00
