NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	4	4	15	21.99	18.33	3.12	0.54	0.00
1	1	1	8	9.76	8.85	0.91	0.00	0.00
1	8	8	15	13.03	11.63	1.16	0.24	0.00
2	4	4	15	9.43	8.20	1.05	0.18	0.00
1	5	5	24	13.74	12.08	1.52	0.14	0.00
2	7	7	24	13.64	12.00	1.46	0.17	0.00
1	1	1	8	7.33	6.89	0.44	0.00	0.00
2	4	4	15	6.41	5.47	0.83	0.11	0.00
3	8	8	57	32.41	29.38	2.85	0.18	0.00
1	2	2	6	5.34	5.04	0.24	0.05	0.00
2	4	4	15	4.10	3.48	0.54	0.08	0.00
1	14	14	24	8.55	7.59	0.85	0.11	0.00
1	8	8	15	4.71	4.10	0.52	0.08	0.00
1	32	32	102	56.35	52.16	3.98	0.21	0.00
1	160	160	306	82.42	68.75	13.01	0.66	0.00
1	30	30	96	59.00	54.92	3.89	0.19	0.00
1	30	30	96	59.45	55.80	3.49	0.16	0.00
2	4	4	15	3.81	3.26	0.48	0.07	0.00
2	4	4	15	3.68	3.14	0.48	0.07	0.00
2	4	4	15	4.57	3.98	0.52	0.07	0.00
2	4	4	15	3.66	3.13	0.47	0.06	0.00
1	2	2	12	6.32	5.91	0.37	0.04	0.00
2	4	4	15	3.86	3.28	0.52	0.07	0.00
1	8	8	15	4.17	3.61	0.49	0.07	0.00
1	8	8	15	4.00	3.45	0.49	0.06	0.00
3	7	7	53	12.52	10.21	2.21	0.10	0.00
1	1	1	8	2.41	2.18	0.23	0.00	0.00
2	3	3	18	4.48	3.83	0.60	0.05	0.00
2	4	4	15	4.68	4.17	0.46	0.06	0.00
1	8	8	15	4.26	3.65	0.54	0.07	0.00
2	5	5	24	9.26	8.27	0.93	0.06	0.00
2	4	4	15	4.65	4.02	0.57	0.07	0.00
2	4	4	15	4.76	4.14	0.56	0.07	0.00
2	4	4	15	3.71	3.18	0.47	0.05	0.00
1	14	14	24	7.89	7.03	0.78	0.08	0.00
1	8	8	15	4.35	3.79	0.49	0.06	0.00
1	8	8	15	4.39	3.77	0.54	0.07	0.00
3	7	7	46	8.75	7.09	1.57	0.09	0.00
2	7	7	24	8.92	8.05	0.80	0.07	0.00
1	8	8	15	4.46	3.92	0.47	0.06	0.00
1	8	8	15	3.79	3.29	0.44	0.05	0.00
2	6	6	24	8.38	7.65	0.68	0.05	0.00
2	6	6	24	8.21	7.48	0.68	0.05	0.00
