NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	4	4	15	23.12	17.69	3.09	0.64	1.70
1	1	1	8	11.38	8.93	0.77	0.19	1.48
1	8	8	15	12.78	9.75	1.05	0.35	1.63
2	4	4	15	10.60	7.94	0.97	0.18	1.52
1	5	5	24	15.70	12.53	1.47	0.16	1.54
2	7	7	24	16.51	13.11	1.51	0.23	1.66
1	1	1	8	8.93	7.07	0.43	0.08	1.35
2	4	4	15	8.10	5.85	0.73	0.15	1.38
3	8	8	57	34.74	29.98	2.83	0.35	1.59
1	2	2	6	7.11	5.44	0.27	0.08	1.33
2	4	4	15	6.08	3.89	0.64	0.12	1.43
1	14	14	24	10.86	8.08	1.07	0.25	1.45
1	8	8	15	6.64	4.60	0.49	0.16	1.39
1	32	32	102	61.72	54.96	4.18	0.67	1.92
1	160	160	306	101.05	74.30	13.28	7.71	5.75
1	30	30	96	66.81	60.58	3.93	0.50	1.81
1	30	30	96	67.49	61.61	3.63	0.52	1.72
2	4	4	15	5.33	3.50	0.49	0.08	1.25
2	4	4	15	5.81	3.84	0.52	0.08	1.37
2	4	4	15	5.96	4.00	0.54	0.08	1.34
2	4	4	15	5.15	3.32	0.50	0.08	1.25
1	2	2	12	8.54	6.73	0.40	0.05	1.35
2	4	4	15	5.13	3.30	0.49	0.07	1.26
1	8	8	15	5.66	3.76	0.50	0.12	1.29
1	8	8	15	6.68	4.66	0.60	0.14	1.29
3	7	7	53	13.45	10.17	1.93	0.10	1.24
1	1	1	8	3.98	2.44	0.24	0.04	1.26
2	3	3	18	6.06	4.16	0.60	0.06	1.25
2	4	4	15	6.23	4.36	0.50	0.08	1.29
1	8	8	15	5.32	3.42	0.49	0.11	1.30
2	5	5	24	9.42	7.27	0.82	0.08	1.23
2	4	4	15	5.11	3.31	0.47	0.07	1.26
2	4	4	15	5.90	4.02	0.54	0.08	1.26
2	4	4	15	6.19	4.29	0.57	0.08	1.25
1	14	14	24	10.10	7.76	0.79	0.18	1.36
1	8	8	15	5.75	3.83	0.49	0.11	1.32
1	8	8	15	5.52	3.61	0.49	0.11	1.31
3	7	7	46	10.75	7.75	1.65	0.10	1.25
2	7	7	24	9.44	7.34	0.77	0.09	1.24
1	8	8	15	6.91	4.82	0.60	0.13	1.36
1	8	8	15	6.61	4.63	0.58	0.12	1.28
2	6	6	24	11.28	9.16	0.82	0.09	1.22
2	6	6	24	10.40	8.30	0.77	0.09	1.24
1	8	8	15	5.83	3.84	0.49	0.11	1.38
2	6	6	24	10.53	8.41	0.78	0.09	1.26
2	6	6	24	11.85	9.68	0.78	0.08	1.31
2	6	6	24	11.17	9.11	0.75	0.09	1.23
2	6	6	24	10.72	8.63	0.76	0.09	1.24
2	6	6	24	10.45	8.39	0.77	0.08	1.21
2	6	6	24	11.11	8.98	0.77	0.09	1.27
2	6	6	24	10.58	8.38	0.78	0.09	1.33
