SingleRound,AllRound,WholeTime
0.0374,0.0374,377.6167
0.0249,0.0623,377.6167
0.0272,0.0895,377.6167
0.0472,0.1367,377.6167
0.0548,0.1914,377.6167
0.0519,0.2434,377.6167
0.0554,0.2988,377.6167
0.0490,0.3479,377.6167
0.0485,0.3963,377.6167
0.0637,0.4601,377.6167
0.0441,0.5042,377.6167
0.0312,0.5354,377.6167
0.0314,0.5668,377.6167
0.0311,0.5978,377.6167
0.0323,0.6301,377.6167
0.0356,0.6658,377.6167
0.0424,0.7081,377.6167
0.0370,0.7452,377.6167
0.0394,0.7846,377.6167
0.0462,0.8309,377.6167
0.0402,0.8711,377.6167
0.0434,0.9145,377.6167
0.0462,0.9607,377.6167
0.0617,1.0224,377.6167
0.0685,1.0909,377.6167
0.0816,1.1725,377.6167
0.1044,1.2769,377.6167
0.1118,1.3887,377.6167
0.1338,1.5224,377.6167
0.1523,1.6748,377.6167
0.1669,1.8416,377.6167
0.1849,2.0265,377.6167
0.2094,2.2359,377.6167
0.2180,2.4539,377.6167
0.2681,2.7220,377.6167
0.3006,3.0226,377.6167
0.3160,3.3386,377.6167
0.3287,3.6673,377.6167
0.4210,4.0882,377.6167
0.4047,4.4929,377.6167
0.3296,4.8226,377.6167
0.4371,5.2596,377.6167
0.5180,5.7777,377.6167
0.5106,6.2883,377.6167
0.5958,6.8840,377.6167
0.5070,7.3911,377.6167
0.5019,7.8929,377.6167
0.6215,8.5144,377.6167
0.6599,9.1743,377.6167
0.7365,9.9108,377.6167
0.7637,10.6745,377.6167
0.6821,11.3566,377.6167
0.7474,12.1040,377.6167
0.8685,12.9726,377.6167
0.9307,13.9033,377.6167
0.9357,14.8390,377.6167
0.9905,15.8295,377.6167
1.0192,16.8487,377.6167
1.1525,18.0012,377.6167
1.1719,19.1731,377.6167
1.4325,20.6056,377.6167
1.3143,21.9199,377.6167
1.5296,23.4495,377.6167
1.3662,24.8157,377.6167
1.4489,26.2646,377.6167
1.5440,27.8086,377.6167
1.6218,29.4303,377.6167
1.6429,31.0732,377.6167
1.6807,32.7539,377.6167
1.6919,34.4458,377.6167
1.6829,36.1287,377.6167
2.0045,38.1331,377.6167
1.8928,40.0260,377.6167
2.0178,42.0438,377.6167
2.0019,44.0457,377.6167
2.1941,46.2398,377.6167
2.6992,48.9391,377.6167
1.8161,50.7552,377.6167
2.4935,53.2487,377.6167
2.6051,55.8537,377.6167
2.0730,57.9267,377.6167
1.8304,59.7571,377.6167
1.9232,61.6804,377.6167
1.9525,63.6329,377.6167
2.0311,65.6640,377.6167
2.1123,67.7762,377.6167
2.1811,69.9573,377.6167
2.2975,72.2548,377.6167
2.3904,74.6452,377.6167
3.2197,77.8649,377.6167
3.4974,81.3623,377.6167
3.5675,84.9298,377.6167
3.3274,88.2572,377.6167
2.5187,90.7759,377.6167
2.6503,93.4261,377.6167
2.6952,96.1213,377.6167
2.7942,98.9155,377.6167
2.8405,101.7560,377.6167
2.9889,104.7449,377.6167
2.9918,107.7367,377.6167
2.9705,110.7072,377.6167
3.0462,113.7534,377.6167
3.2293,116.9827,377.6167
3.2891,120.2719,377.6167
3.4181,123.6899,377.6167
3.5320,127.2219,377.6167
3.6579,130.8798,377.6167
3.7397,134.6195,377.6167
3.8501,138.4696,377.6167
4.0538,142.5234,377.6167
4.0511,146.5746,377.6167
4.0742,150.6487,377.6167
4.1377,154.7864,377.6167
4.3985,159.1849,377.6167
4.5082,163.6931,377.6167
4.7269,168.4199,377.6167
4.8212,173.2412,377.6167
5.0923,178.3335,377.6167
5.0885,183.4220,377.6167
5.2624,188.6844,377.6167
5.5098,194.1942,377.6167
5.4978,199.6920,377.6167
5.5472,205.2392,377.6167
5.7657,211.0049,377.6167
6.0246,217.0295,377.6167
6.0674,223.0969,377.6167
6.2624,229.3593,377.6167
6.6388,235.9981,377.6167
7.0180,243.0161,377.6167
6.8605,249.8766,377.6167
7.4636,257.3402,377.6167
7.7333,265.0735,377.6167
7.3295,272.4030,377.6167
7.6337,280.0366,377.6167
8.0459,288.0826,377.6167
8.6815,296.7641,377.6167
8.5537,305.3178,377.6167
9.1476,314.4654,377.6167
9.3506,323.8160,377.6167
9.6200,333.4360,377.6167
9.9733,343.4093,377.6167
10.3871,353.7964,377.6167
10.7047,364.5012,377.6167
10.5135,375.0147,377.6167
