SingleRound,AllRound,WholeTime
0.0024,0.0024,0.8854
0.0015,0.0039,0.8854
0.0016,0.0055,0.8854
0.0019,0.0074,0.8854
0.0015,0.0089,0.8854
0.0014,0.0103,0.8854
0.0014,0.0117,0.8854
0.0023,0.0140,0.8854
0.0022,0.0162,0.8854
0.0015,0.0177,0.8854
0.0013,0.0190,0.8854
0.0013,0.0202,0.8854
0.0016,0.0219,0.8854
0.0016,0.0235,0.8854
0.0015,0.0250,0.8854
0.0016,0.0267,0.8854
0.0014,0.0281,0.8854
0.0014,0.0295,0.8854
0.0015,0.0310,0.8854
0.0083,0.0393,0.8854
0.0186,0.0579,0.8854
0.0019,0.0598,0.8854
0.0017,0.0615,0.8854
0.0177,0.0793,0.8854
0.0178,0.0971,0.8854
