SingleRound,AllRound,WholeTime
0.0582,0.0582,35.6603
0.0312,0.0894,35.6603
0.0273,0.1167,35.6603
0.0292,0.1460,35.6603
0.0277,0.1736,35.6603
0.0268,0.2004,35.6603
0.0297,0.2301,35.6603
0.0304,0.2605,35.6603
0.0259,0.2864,35.6603
0.0312,0.3176,35.6603
0.0364,0.3541,35.6603
0.0315,0.3856,35.6603
0.0307,0.4163,35.6603
0.0384,0.4547,35.6603
0.0294,0.4841,35.6603
0.0289,0.5130,35.6603
0.0300,0.5430,35.6603
0.0329,0.5760,35.6603
0.0291,0.6051,35.6603
0.0311,0.6362,35.6603
0.0260,0.6622,35.6603
0.0338,0.6960,35.6603
0.0294,0.7254,35.6603
0.0272,0.7526,35.6603
0.0514,0.8040,35.6603
0.0320,0.8360,35.6603
0.0294,0.8654,35.6603
0.0583,0.9236,35.6603
0.0702,0.9938,35.6603
0.0552,1.0490,35.6603
0.0315,1.0805,35.6603
0.0300,1.1104,35.6603
0.0500,1.1604,35.6603
0.0278,1.1882,35.6603
0.0356,1.2238,35.6603
0.0254,1.2492,35.6603
0.0280,1.2771,35.6603
0.0274,1.3046,35.6603
0.0244,1.3290,35.6603
0.0350,1.3640,35.6603
0.0356,1.3995,35.6603
0.0318,1.4314,35.6603
0.0300,1.4613,35.6603
0.0304,1.4917,35.6603
0.0259,1.5176,35.6603
0.0466,1.5642,35.6603
0.1700,1.7342,35.6603
0.2376,1.9718,35.6603
0.3090,2.2808,35.6603
0.6965,2.9773,35.6603
0.2653,3.2426,35.6603
0.3018,3.5444,35.6603
0.2380,3.7824,35.6603
0.2573,4.0398,35.6603
0.1401,4.1798,35.6603
0.4385,4.6184,35.6603
0.2635,4.8819,35.6603
0.3269,5.2088,35.6603
0.4855,5.6942,35.6603
0.1376,5.8318,35.6603
0.3866,6.2185,35.6603
0.3804,6.5989,35.6603
0.5705,7.1694,35.6603
0.5139,7.6833,35.6603
1.3576,9.0409,35.6603
0.3954,9.4363,35.6603
0.7328,10.1691,35.6603
0.4467,10.6158,35.6603
0.4041,11.0199,35.6603
0.2346,11.2544,35.6603
0.9800,12.2344,35.6603
0.3917,12.6262,35.6603
0.4568,13.0830,35.6603
0.4309,13.5138,35.6603
0.3789,13.8928,35.6603
0.2347,14.1275,35.6603
0.9241,15.0516,35.6603
0.8331,15.8847,35.6603
0.6053,16.4900,35.6603
1.2273,17.7174,35.6603
0.0273,17.7447,35.6603
1.1274,18.8721,35.6603
0.5041,19.3763,35.6603
0.5993,19.9756,35.6603
0.6130,20.5886,35.6603
0.6650,21.2536,35.6603
1.2636,22.5172,35.6603
0.9869,23.5041,35.6603
0.6271,24.1312,35.6603
0.7079,24.8391,35.6603
0.7102,25.5493,35.6603
0.5912,26.1405,35.6603
0.0248,26.1653,35.6603
1.1409,27.3062,35.6603
0.5754,27.8816,35.6603
0.4600,28.3416,35.6603
1.7892,30.1308,35.6603
0.6820,30.8128,35.6603
0.7001,31.5129,35.6603
0.8180,32.3309,35.6603
0.8961,33.2270,35.6603
