SingleRound,AllRound,WholeTime
0.0150,0.0150,5.1574
0.0134,0.0284,5.1574
0.0134,0.0417,5.1574
0.0135,0.0553,5.1574
0.0134,0.0686,5.1574
0.0130,0.0816,5.1574
0.0129,0.0946,5.1574
0.0157,0.1103,5.1574
0.0148,0.1251,5.1574
0.0129,0.1380,5.1574
0.0128,0.1508,5.1574
0.0127,0.1635,5.1574
0.0130,0.1765,5.1574
0.0133,0.1898,5.1574
0.0130,0.2028,5.1574
0.0130,0.2157,5.1574
0.0133,0.2290,5.1574
0.0124,0.2415,5.1574
0.0127,0.2541,5.1574
0.0246,0.2787,5.1574
0.0868,0.3655,5.1574
0.0126,0.3782,5.1574
0.0129,0.3911,5.1574
0.1140,0.5051,5.1574
0.0840,0.5891,5.1574
