Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             22.21             0.00             22.21              777.39   
0.67            0.16             0.00              0.00             0.83               778.22   
0.10            0.10             0.00              0.00             0.20               778.42   
0.08            0.10             0.00              0.00             0.18               778.60   
0.09            0.10             0.00              0.00             0.19               778.79   
0.07            0.09             0.00              0.00             0.16               778.95   
0.06            0.06             0.00              0.00             0.12               779.07   
0.07            0.06             0.00              0.00             0.13               779.20   
0.06            0.06             0.00              0.00             0.12               779.32   
0.05            0.07             0.00              0.00             0.12               779.44   
0.09            0.08             0.00              0.00             0.17               779.61   
0.07            0.08             0.00              0.00             0.15               779.76   
0.07            0.07             0.00              0.00             0.14               779.90   
0.06            0.06             0.00              0.00             0.12               780.02   
0.07            0.04             0.00              0.00             0.11               780.13   
0.07            0.05             0.00              0.00             0.12               780.25   
0.09            0.01             0.00              0.00             0.10               780.35   
0.00            0.00             0.00              0.97             0.97               781.32   
