Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             9.59              0.00             9.59               151.04   
0.59            0.19             0.00              0.00             0.78               151.82   
0.08            0.08             0.00              0.00             0.16               151.98   
0.08            0.08             0.00              0.00             0.16               152.14   
0.06            0.07             0.00              0.00             0.13               152.27   
0.08            0.07             0.00              0.00             0.15               152.42   
0.06            0.10             0.00              0.00             0.16               152.58   
0.06            0.07             0.00              0.00             0.13               152.71   
0.07            0.07             0.00              0.00             0.14               152.85   
0.06            0.06             0.00              0.00             0.12               152.97   
0.07            0.07             0.00              0.00             0.14               153.11   
0.05            0.05             0.00              0.00             0.10               153.21   
0.06            0.05             0.00              0.00             0.11               153.32   
0.06            0.05             0.00              0.00             0.11               153.43   
0.05            0.04             0.00              0.00             0.09               153.52   
0.05            0.07             0.00              0.00             0.12               153.64   
0.05            0.04             0.00              0.00             0.09               153.73   
0.04            0.05             0.00              0.00             0.09               153.82   
0.05            0.05             0.00              0.00             0.10               153.92   
0.06            0.03             0.00              0.00             0.09               154.01   
0.05            0.04             0.00              0.00             0.09               154.10   
0.05            0.02             0.00              0.00             0.07               154.17   
0.05            0.04             0.00              0.00             0.09               154.26   
0.05            0.02             0.00              0.00             0.07               154.33   
0.00            0.00             0.00              0.80             0.80               155.13   
