Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             28.27             0.00             28.27              364.83   
0.29            0.09             0.00              0.00             0.38               365.21   
0.06            0.04             0.00              0.00             0.10               365.31   
0.04            0.05             0.00              0.00             0.09               365.40   
0.03            0.06             0.00              0.00             0.09               365.49   
0.03            0.05             0.00              0.00             0.08               365.57   
0.03            0.04             0.00              0.00             0.07               365.64   
0.03            0.04             0.00              0.00             0.07               365.71   
0.04            0.03             0.00              0.00             0.07               365.78   
0.03            0.03             0.00              0.00             0.06               365.84   
0.03            0.02             0.00              0.00             0.05               365.89   
0.03            0.02             0.00              0.00             0.05               365.94   
0.03            0.03             0.00              0.00             0.06               366.00   
0.04            0.04             0.00              0.00             0.08               366.08   
0.03            0.06             0.00              0.00             0.09               366.17   
0.03            0.03             0.00              0.00             0.06               366.23   
0.02            0.03             0.00              0.00             0.05               366.28   
0.03            0.03             0.00              0.00             0.06               366.34   
0.03            0.03             0.00              0.00             0.06               366.40   
0.03            0.02             0.00              0.00             0.05               366.45   
0.03            0.02             0.00              0.00             0.05               366.50   
0.03            0.01             0.00              0.00             0.04               366.54   
0.02            0.01             0.00              0.00             0.03               366.57   
0.02            0.02             0.00              0.00             0.04               366.61   
0.03            0.01             0.00              0.00             0.04               366.65   
0.03            0.01             0.00              0.00             0.04               366.69   
0.03            0.01             0.00              0.00             0.04               366.73   
0.02            0.01             0.00              0.00             0.03               366.76   
0.03            0.02             0.00              0.00             0.05               366.81   
0.02            0.02             0.00              0.00             0.04               366.85   
0.03            0.02             0.00              0.00             0.05               366.90   
0.03            0.01             0.00              0.00             0.04               366.94   
0.03            0.01             0.00              0.00             0.04               366.98   
0.03            0.00             0.00              0.00             0.03               367.01   
0.03            0.00             0.00              0.00             0.03               367.04   
0.03            0.00             0.00              0.00             0.03               367.07   
0.03            0.00             0.00              0.00             0.03               367.10   
0.00            0.00             0.00              0.42             0.42               367.52   
