Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             11.08             0.00             11.08              117.06   
0.24            0.07             0.00              0.00             0.31               117.37   
0.05            0.04             0.00              0.00             0.09               117.46   
0.03            0.04             0.00              0.00             0.07               117.53   
0.03            0.03             0.00              0.00             0.06               117.59   
0.03            0.03             0.00              0.00             0.06               117.65   
0.04            0.02             0.00              0.00             0.06               117.71   
0.02            0.03             0.00              0.00             0.05               117.76   
0.04            0.04             0.00              0.00             0.08               117.84   
0.03            0.03             0.00              0.00             0.06               117.90   
0.03            0.03             0.00              0.00             0.06               117.96   
0.03            0.02             0.00              0.00             0.05               118.01   
0.03            0.01             0.00              0.00             0.04               118.05   
0.03            0.02             0.00              0.00             0.05               118.10   
0.03            0.01             0.00              0.00             0.04               118.14   
0.03            0.01             0.00              0.00             0.04               118.18   
0.03            0.00             0.00              0.00             0.03               118.21   
0.00            0.00             0.00              0.24             0.24               118.45   
