Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             7.74              0.00             7.74               83.37    
0.23            0.06             0.00              0.00             0.29               83.66    
0.06            0.04             0.00              0.00             0.10               83.76    
0.03            0.04             0.00              0.00             0.07               83.83    
0.03            0.03             0.00              0.00             0.06               83.89    
0.03            0.03             0.00              0.00             0.06               83.95    
0.02            0.03             0.00              0.00             0.05               84.00    
0.04            0.02             0.00              0.00             0.06               84.06    
0.05            0.02             0.00              0.00             0.07               84.13    
0.02            0.05             0.00              0.00             0.07               84.20    
0.03            0.03             0.00              0.00             0.06               84.26    
0.03            0.03             0.00              0.00             0.06               84.32    
0.03            0.01             0.00              0.00             0.04               84.36    
0.03            0.01             0.00              0.00             0.04               84.40    
0.02            0.01             0.00              0.00             0.03               84.43    
0.03            0.02             0.00              0.00             0.05               84.48    
0.03            0.00             0.00              0.00             0.03               84.51    
0.00            0.00             0.00              0.21             0.21               84.72    
