Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             25.71             0.00             25.71              290.81   
0.22            0.08             0.00              0.00             0.30               291.11   
0.05            0.05             0.00              0.00             0.10               291.21   
0.03            0.05             0.00              0.00             0.08               291.29   
0.03            0.05             0.00              0.00             0.08               291.37   
0.03            0.04             0.00              0.00             0.07               291.44   
0.03            0.04             0.00              0.00             0.07               291.51   
0.02            0.04             0.00              0.00             0.06               291.57   
0.02            0.03             0.00              0.00             0.05               291.62   
0.03            0.03             0.00              0.00             0.06               291.68   
0.03            0.02             0.00              0.00             0.05               291.73   
0.02            0.02             0.00              0.00             0.04               291.77   
0.04            0.03             0.00              0.00             0.07               291.84   
0.02            0.03             0.00              0.00             0.05               291.89   
0.02            0.04             0.00              0.00             0.06               291.95   
0.03            0.03             0.00              0.00             0.06               292.01   
0.03            0.03             0.00              0.00             0.06               292.07   
0.04            0.03             0.00              0.00             0.07               292.14   
0.02            0.03             0.00              0.00             0.05               292.19   
0.03            0.02             0.00              0.00             0.05               292.24   
0.02            0.02             0.00              0.00             0.04               292.28   
0.03            0.01             0.00              0.00             0.04               292.32   
0.02            0.01             0.00              0.00             0.03               292.35   
0.02            0.02             0.00              0.00             0.04               292.39   
0.02            0.01             0.00              0.00             0.03               292.42   
0.02            0.01             0.00              0.00             0.03               292.45   
0.03            0.01             0.00              0.00             0.04               292.49   
0.02            0.01             0.00              0.00             0.03               292.52   
0.02            0.02             0.00              0.00             0.04               292.56   
0.02            0.02             0.00              0.00             0.04               292.60   
0.03            0.02             0.00              0.00             0.05               292.65   
0.02            0.01             0.00              0.00             0.03               292.68   
0.03            0.01             0.00              0.00             0.04               292.72   
0.03            0.00             0.00              0.00             0.03               292.75   
0.02            0.00             0.00              0.00             0.02               292.77   
0.03            0.00             0.00              0.00             0.03               292.80   
0.02            0.00             0.00              0.00             0.02               292.82   
0.00            0.00             0.00              0.22             0.22               293.04   
