Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             17.53             0.00             17.53              211.02   
0.22            0.07             0.00              0.00             0.29               211.31   
0.05            0.06             0.00              0.00             0.11               211.42   
0.03            0.05             0.00              0.00             0.08               211.50   
0.03            0.05             0.00              0.00             0.08               211.58   
0.03            0.04             0.00              0.00             0.07               211.65   
0.02            0.04             0.00              0.00             0.06               211.71   
0.03            0.06             0.00              0.00             0.09               211.80   
0.03            0.05             0.00              0.00             0.08               211.88   
0.03            0.04             0.00              0.00             0.07               211.95   
0.03            0.05             0.00              0.00             0.08               212.03   
0.04            0.03             0.00              0.00             0.07               212.10   
0.02            0.03             0.00              0.00             0.05               212.15   
0.02            0.03             0.00              0.00             0.05               212.20   
0.02            0.04             0.00              0.00             0.06               212.26   
0.03            0.04             0.00              0.00             0.07               212.33   
0.02            0.02             0.00              0.00             0.04               212.37   
0.03            0.03             0.00              0.00             0.06               212.43   
0.03            0.02             0.00              0.00             0.05               212.48   
0.02            0.03             0.00              0.00             0.05               212.53   
0.02            0.02             0.00              0.00             0.04               212.57   
0.02            0.02             0.00              0.00             0.04               212.61   
0.02            0.02             0.00              0.00             0.04               212.65   
0.02            0.03             0.00              0.00             0.05               212.70   
0.02            0.03             0.00              0.00             0.05               212.75   
0.02            0.05             0.00              0.00             0.07               212.82   
0.03            0.02             0.00              0.00             0.05               212.87   
0.02            0.02             0.00              0.00             0.04               212.91   
0.03            0.01             0.00              0.00             0.04               212.95   
0.02            0.01             0.00              0.00             0.03               212.98   
0.03            0.02             0.00              0.00             0.05               213.03   
0.02            0.01             0.00              0.00             0.03               213.06   
0.03            0.01             0.00              0.00             0.04               213.10   
0.02            0.01             0.00              0.00             0.03               213.13   
0.02            0.01             0.00              0.00             0.03               213.16   
0.03            0.00             0.00              0.00             0.03               213.19   
0.00            0.00             0.00              0.18             0.18               213.37   
