NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	1	1	16	25.42	22.62	2.80	0.00	0.00
2	1	1	23	13.21	10.00	3.21	0.00	0.00
2	2	2	35	23.21	19.83	3.38	0.00	0.00
2	4	4	36	50.68	48.03	2.66	0.00	0.00
2	4	4	36	30.73	28.36	2.37	0.00	0.00
2	0	0	16	12.30	11.15	1.15	0.00	0.00
2	0	0	16	8.93	7.82	1.11	0.00	0.00
2	1	1	23	9.01	6.54	2.46	0.00	0.00
2	2	2	36	27.81	25.74	2.07	0.00	0.00
2	2	2	35	19.81	17.58	2.23	0.00	0.00
2	1	1	36	20.48	18.09	2.39	0.00	0.00
2	2	2	36	22.08	20.38	1.70	0.00	0.00
