NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	31.17	28.82	2.36	0.00	0.00
2	4	4	36	38.85	35.91	2.94	0.00	0.00
3	9	9	64	59.42	54.47	4.96	0.00	0.00
4	16	16	100	101.89	90.10	11.79	0.00	0.00
5	25	25	144	160.74	151.89	8.85	0.00	0.00
6	36	36	196	202.34	189.71	12.63	0.00	0.00
7	49	49	256	243.09	225.02	18.08	0.00	0.00
8	64	64	324	363.38	334.52	28.86	0.00	0.00
9	81	81	400	435.99	394.34	41.65	0.00	0.00
10	100	100	484	551.02	494.00	57.01	0.00	0.00
11	121	121	576	743.86	652.16	91.70	0.00	0.00
12	144	144	676	1140.27	1011.72	128.55	0.00	0.00
13	169	169	784	1500.43	1344.90	155.54	0.00	0.00
14	196	196	900	1604.69	1396.29	208.40	0.00	0.00
15	225	225	1024	2022.57	1741.50	281.07	0.00	0.00
