Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             1737.62           0.00             1737.62            76877.52 
4.61            4.33             0.00              0.00             8.94               76886.46 
0.04            1.64             0.00              0.00             1.68               76888.14 
0.03            2.03             0.00              0.00             2.06               76890.20 
0.03            1.93             0.00              0.00             1.96               76892.16 
0.03            1.63             0.00              0.00             1.66               76893.82 
0.03            1.99             0.00              0.00             2.02               76895.84 
0.03            1.93             0.00              0.00             1.96               76897.80 
0.03            1.86             0.00              0.00             1.89               76899.69 
0.03            1.93             0.00              0.00             1.96               76901.65 
0.03            1.91             0.00              0.00             1.94               76903.59 
0.03            1.82             0.00              0.00             1.85               76905.44 
0.03            1.82             0.00              0.00             1.85               76907.29 
0.04            1.94             0.00              0.00             1.98               76909.27 
0.04            1.89             0.00              0.00             1.93               76911.20 
0.03            1.91             0.00              0.00             1.94               76913.14 
0.03            2.02             0.00              0.00             2.05               76915.19 
0.03            3.81             0.00              0.00             3.84               76919.03 
0.04            1.77             0.00              0.00             1.81               76920.84 
0.03            3.83             0.00              0.00             3.86               76924.70 
0.04            2.06             0.00              0.00             2.10               76926.80 
0.03            1.54             0.00              0.00             1.57               76928.37 
0.03            1.93             0.00              0.00             1.96               76930.33 
0.03            1.69             0.00              0.00             1.72               76932.05 
0.03            1.83             0.00              0.00             1.86               76933.91 
0.03            1.62             0.00              0.00             1.65               76935.56 
0.03            2.03             0.00              0.00             2.06               76937.62 
0.03            1.91             0.00              0.00             1.94               76939.56 
0.03            1.91             0.00              0.00             1.94               76941.50 
0.03            1.94             0.00              0.00             1.97               76943.47 
0.03            2.01             0.00              0.00             2.04               76945.51 
0.03            1.88             0.00              0.00             1.91               76947.42 
0.03            1.97             0.00              0.00             2.00               76949.42 
0.03            4.06             0.00              0.00             4.09               76953.51 
0.04            2.05             0.00              0.00             2.09               76955.60 
0.05            0.32             0.00              0.00             0.37               76955.97 
0.02            1.53             0.00              0.00             1.55               76957.52 
0.03            0.28             0.00              0.00             0.31               76957.83 
0.02            1.64             0.00              0.00             1.66               76959.49 
0.03            0.30             0.00              0.00             0.33               76959.82 
0.02            0.29             0.00              0.00             0.31               76960.13 
0.02            0.30             0.00              0.00             0.32               76960.45 
0.03            0.30             0.00              0.00             0.33               76960.78 
0.02            0.27             0.00              0.00             0.29               76961.07 
0.02            0.28             0.00              0.00             0.30               76961.37 
0.02            0.27             0.00              0.00             0.29               76961.66 
0.02            0.27             0.00              0.00             0.29               76961.95 
0.02            1.52             0.00              0.00             1.54               76963.49 
0.03            0.27             0.00              0.00             0.30               76963.79 
0.02            0.27             0.00              0.00             0.29               76964.08 
0.02            0.30             0.00              0.00             0.32               76964.40 
0.02            0.29             0.00              0.00             0.31               76964.71 
0.02            0.29             0.00              0.00             0.31               76965.02 
0.02            0.34             0.00              0.00             0.36               76965.38 
0.02            0.29             0.00              0.00             0.31               76965.69 
0.03            0.34             0.00              0.00             0.37               76966.06 
0.02            1.92             0.00              0.00             1.94               76968.00 
0.03            1.83             0.00              0.00             1.86               76969.86 
0.03            0.35             0.00              0.00             0.38               76970.24 
0.02            0.27             0.00              0.00             0.29               76970.53 
0.02            1.75             0.00              0.00             1.77               76972.30 
0.03            0.33             0.00              0.00             0.36               76972.66 
0.02            0.32             0.00              0.00             0.34               76973.00 
0.02            0.32             0.00              0.00             0.34               76973.34 
0.02            0.30             0.00              0.00             0.32               76973.66 
0.02            0.29             0.00              0.00             0.31               76973.97 
0.02            0.33             0.00              0.00             0.35               76974.32 
0.02            0.34             0.00              0.00             0.36               76974.68 
0.02            0.30             0.00              0.00             0.32               76975.00 
0.02            0.27             0.00              0.00             0.29               76975.29 
0.02            0.29             0.00              0.00             0.31               76975.60 
0.02            0.35             0.00              0.00             0.37               76975.97 
0.02            0.33             0.00              0.00             0.35               76976.32 
0.02            2.05             0.00              0.00             2.07               76978.39 
0.05            0.35             0.00              0.00             0.40               76978.79 
0.02            0.32             0.00              0.00             0.34               76979.13 
0.02            0.31             0.00              0.00             0.33               76979.46 
0.02            0.32             0.00              0.00             0.34               76979.80 
0.02            0.25             0.00              0.00             0.27               76980.07 
0.02            0.29             0.00              0.00             0.31               76980.38 
0.02            0.32             0.00              0.00             0.34               76980.72 
0.02            0.25             0.00              0.00             0.27               76980.99 
0.02            1.76             0.00              0.00             1.78               76982.77 
0.03            0.32             0.00              0.00             0.35               76983.12 
0.03            1.79             0.00              0.00             1.82               76984.94 
0.03            0.35             0.00              0.00             0.38               76985.32 
0.02            0.36             0.00              0.00             0.38               76985.70 
0.02            1.70             0.00              0.00             1.72               76987.42 
0.03            0.28             0.00              0.00             0.31               76987.73 
0.02            1.49             0.00              0.00             1.51               76989.24 
0.03            0.27             0.00              0.00             0.30               76989.54 
0.02            0.27             0.00              0.00             0.29               76989.83 
0.02            0.26             0.00              0.00             0.28               76990.11 
0.02            0.27             0.00              0.00             0.29               76990.40 
0.02            0.27             0.00              0.00             0.29               76990.69 
0.02            0.27             0.00              0.00             0.29               76990.98 
0.02            0.27             0.00              0.00             0.29               76991.27 
0.03            0.28             0.00              0.00             0.31               76991.58 
0.02            0.27             0.00              0.00             0.29               76991.87 
0.02            0.26             0.00              0.00             0.28               76992.15 
0.02            1.50             0.00              0.00             1.52               76993.67 
0.03            0.27             0.00              0.00             0.30               76993.97 
0.02            0.28             0.00              0.00             0.30               76994.27 
0.02            0.32             0.00              0.00             0.34               76994.61 
0.02            0.37             0.00              0.00             0.39               76995.00 
0.02            0.35             0.00              0.00             0.37               76995.37 
0.02            2.03             0.00              0.00             2.05               76997.42 
0.03            0.32             0.00              0.00             0.35               76997.77 
0.02            0.32             0.00              0.00             0.34               76998.11 
0.02            0.32             0.00              0.00             0.34               76998.45 
0.02            0.33             0.00              0.00             0.35               76998.80 
0.02            0.32             0.00              0.00             0.34               76999.14 
0.02            0.33             0.00              0.00             0.35               76999.49 
0.02            0.31             0.00              0.00             0.33               76999.82 
0.02            0.32             0.00              0.00             0.34               77000.16 
0.02            1.76             0.00              0.00             1.78               77001.94 
0.03            0.32             0.00              0.00             0.35               77002.29 
0.02            1.78             0.00              0.00             1.80               77004.09 
0.03            0.32             0.00              0.00             0.35               77004.44 
0.02            0.32             0.00              0.00             0.34               77004.78 
0.02            0.35             0.00              0.00             0.37               77005.15 
0.02            0.34             0.00              0.00             0.36               77005.51 
0.02            0.33             0.00              0.00             0.35               77005.86 
0.02            0.37             0.00              0.00             0.39               77006.25 
0.02            0.34             0.00              0.00             0.36               77006.61 
0.03            0.29             0.00              0.00             0.32               77006.93 
0.03            0.33             0.00              0.00             0.36               77007.29 
0.02            1.84             0.00              0.00             1.86               77009.15 
0.03            0.33             0.00              0.00             0.36               77009.51 
0.02            0.26             0.00              0.00             0.28               77009.79 
0.02            1.77             0.00              0.00             1.79               77011.58 
0.03            0.31             0.00              0.00             0.34               77011.92 
0.02            1.90             0.00              0.00             1.92               77013.84 
0.03            0.33             0.00              0.00             0.36               77014.20 
0.02            1.84             0.00              0.00             1.86               77016.06 
0.03            0.36             0.00              0.00             0.39               77016.45 
0.02            0.32             0.00              0.00             0.34               77016.79 
0.02            1.87             0.00              0.00             1.89               77018.68 
0.03            0.31             0.00              0.00             0.34               77019.02 
0.02            0.31             0.00              0.00             0.33               77019.35 
0.02            0.31             0.00              0.00             0.33               77019.68 
0.02            0.31             0.00              0.00             0.33               77020.01 
0.02            0.31             0.00              0.00             0.33               77020.34 
0.02            0.32             0.00              0.00             0.34               77020.68 
0.02            0.31             0.00              0.00             0.33               77021.01 
0.02            0.32             0.00              0.00             0.34               77021.35 
0.02            0.31             0.00              0.00             0.33               77021.68 
0.02            0.31             0.00              0.00             0.33               77022.01 
0.02            1.74             0.00              0.00             1.76               77023.77 
0.03            0.34             0.00              0.00             0.37               77024.14 
0.02            0.30             0.00              0.00             0.32               77024.46 
0.02            0.26             0.00              0.00             0.28               77024.74 
0.02            0.31             0.00              0.00             0.33               77025.07 
0.02            0.32             0.00              0.00             0.34               77025.41 
0.02            0.27             0.00              0.00             0.29               77025.70 
0.02            0.34             0.00              0.00             0.36               77026.06 
0.02            0.37             0.00              0.00             0.39               77026.45 
0.02            0.33             0.00              0.00             0.35               77026.80 
0.02            1.92             0.00              0.00             1.94               77028.74 
0.03            0.33             0.00              0.00             0.36               77029.10 
0.02            1.90             0.00              0.00             1.92               77031.02 
0.03            1.76             0.00              0.00             1.79               77032.81 
0.03            0.32             0.00              0.00             0.35               77033.16 
0.02            0.33             0.00              0.00             0.35               77033.51 
0.02            0.31             0.00              0.00             0.33               77033.84 
0.02            0.31             0.00              0.00             0.33               77034.17 
0.02            0.29             0.00              0.00             0.31               77034.48 
0.02            0.30             0.00              0.00             0.32               77034.80 
0.03            2.07             0.00              0.00             2.10               77036.90 
0.03            1.78             0.00              0.00             1.81               77038.71 
0.03            0.26             0.00              0.00             0.29               77039.00 
0.03            0.29             0.00              0.00             0.32               77039.32 
0.02            0.33             0.00              0.00             0.35               77039.67 
0.02            0.32             0.00              0.00             0.34               77040.01 
0.02            0.31             0.00              0.00             0.33               77040.34 
0.02            1.76             0.00              0.00             1.78               77042.12 
0.03            0.31             0.00              0.00             0.34               77042.46 
0.02            0.30             0.00              0.00             0.32               77042.78 
0.02            0.30             0.00              0.00             0.32               77043.10 
0.02            0.29             0.00              0.00             0.31               77043.41 
0.02            0.29             0.00              0.00             0.31               77043.72 
0.02            0.29             0.00              0.00             0.31               77044.03 
0.02            0.29             0.00              0.00             0.31               77044.34 
0.02            1.67             0.00              0.00             1.69               77046.03 
0.03            0.32             0.00              0.00             0.35               77046.38 
0.02            0.33             0.00              0.00             0.35               77046.73 
0.02            1.72             0.00              0.00             1.74               77048.47 
0.03            0.32             0.00              0.00             0.35               77048.82 
0.02            0.33             0.00              0.00             0.35               77049.17 
0.02            1.64             0.00              0.00             1.66               77050.83 
