Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             15.68             0.00             15.68              1142.41  
0.61            0.18             0.00              0.00             0.79               1143.20  
0.08            0.11             0.00              0.00             0.19               1143.39  
0.06            0.10             0.00              0.00             0.16               1143.55  
0.07            0.09             0.00              0.00             0.16               1143.71  
0.06            0.09             0.00              0.00             0.15               1143.86  
0.06            0.06             0.00              0.00             0.12               1143.98  
0.05            0.06             0.00              0.00             0.11               1144.09  
0.05            0.06             0.00              0.00             0.11               1144.20  
0.05            0.07             0.00              0.00             0.12               1144.32  
0.06            0.07             0.00              0.00             0.13               1144.45  
0.06            0.09             0.00              0.00             0.15               1144.60  
0.07            0.07             0.00              0.00             0.14               1144.74  
0.06            0.04             0.00              0.00             0.10               1144.84  
0.05            0.05             0.00              0.00             0.10               1144.94  
0.06            0.05             0.00              0.00             0.11               1145.05  
0.06            0.01             0.00              0.00             0.07               1145.12  
0.00            0.00             0.00              2.59             2.59               1147.71  
