Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             15.71             0.00             15.71              190.77   
0.59            0.20             0.00              0.00             0.79               191.56   
0.08            0.09             0.00              0.00             0.17               191.73   
0.09            0.12             0.00              0.00             0.21               191.94   
0.10            0.12             0.00              0.00             0.22               192.16   
0.08            0.12             0.00              0.00             0.20               192.36   
0.09            0.17             0.00              0.00             0.26               192.62   
0.09            0.10             0.00              0.00             0.19               192.81   
0.08            0.11             0.00              0.00             0.19               193.00   
0.09            0.10             0.00              0.00             0.19               193.19   
0.09            0.06             0.00              0.00             0.15               193.34   
0.06            0.05             0.00              0.00             0.11               193.45   
0.05            0.05             0.00              0.00             0.10               193.55   
0.05            0.05             0.00              0.00             0.10               193.65   
0.05            0.05             0.00              0.00             0.10               193.75   
0.05            0.07             0.00              0.00             0.12               193.87   
0.06            0.04             0.00              0.00             0.10               193.97   
0.05            0.04             0.00              0.00             0.09               194.06   
0.07            0.05             0.00              0.00             0.12               194.18   
0.06            0.03             0.00              0.00             0.09               194.27   
0.05            0.03             0.00              0.00             0.08               194.35   
0.05            0.02             0.00              0.00             0.07               194.42   
0.05            0.03             0.00              0.00             0.08               194.50   
0.05            0.03             0.00              0.00             0.08               194.58   
0.00            0.00             0.00              2.80             2.80               197.38   
