Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             42.38             0.00             42.38              554.55   
0.41            0.11             0.00              0.00             0.52               555.07   
0.06            0.08             0.00              0.00             0.14               555.21   
0.04            0.08             0.00              0.00             0.12               555.33   
0.03            0.05             0.00              0.00             0.08               555.41   
0.03            0.05             0.00              0.00             0.08               555.49   
0.03            0.06             0.00              0.00             0.09               555.58   
0.03            0.05             0.00              0.00             0.08               555.66   
0.03            0.04             0.00              0.00             0.07               555.73   
0.03            0.04             0.00              0.00             0.07               555.80   
0.05            0.04             0.00              0.00             0.09               555.89   
0.03            0.05             0.00              0.00             0.08               555.97   
0.03            0.19             0.00              0.00             0.22               556.19   
0.04            0.05             0.00              0.00             0.09               556.28   
0.03            0.04             0.00              0.00             0.07               556.35   
0.03            0.04             0.00              0.00             0.07               556.42   
0.03            0.04             0.00              0.00             0.07               556.49   
0.04            0.03             0.00              0.00             0.07               556.56   
0.03            0.03             0.00              0.00             0.06               556.62   
0.03            0.03             0.00              0.00             0.06               556.68   
0.03            0.03             0.00              0.00             0.06               556.74   
0.03            0.03             0.00              0.00             0.06               556.80   
0.04            0.02             0.00              0.00             0.06               556.86   
0.03            0.02             0.00              0.00             0.05               556.91   
0.03            0.02             0.00              0.00             0.05               556.96   
0.03            0.03             0.00              0.00             0.06               557.02   
0.03            0.02             0.00              0.00             0.05               557.07   
0.03            0.03             0.00              0.00             0.06               557.13   
0.04            0.03             0.00              0.00             0.07               557.20   
0.03            0.02             0.00              0.00             0.05               557.25   
0.03            0.01             0.00              0.00             0.04               557.29   
0.03            0.02             0.00              0.00             0.05               557.34   
0.03            0.01             0.00              0.00             0.04               557.38   
0.03            0.01             0.00              0.00             0.04               557.42   
0.03            0.01             0.00              0.00             0.04               557.46   
0.03            0.00             0.00              0.00             0.03               557.49   
0.03            0.00             0.00              0.00             0.03               557.52   
0.00            0.00             0.00              2.93             2.93               560.45   
