Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             27.65             0.00             27.65              354.16   
0.39            0.10             0.00              0.00             0.49               354.65   
0.07            0.05             0.00              0.00             0.12               354.77   
0.06            0.06             0.00              0.00             0.12               354.89   
0.05            0.08             0.00              0.00             0.13               355.02   
0.04            0.05             0.00              0.00             0.09               355.11   
0.06            0.06             0.00              0.00             0.12               355.23   
0.04            0.27             0.00              0.00             0.31               355.54   
0.04            0.04             0.00              0.00             0.08               355.62   
0.04            0.03             0.00              0.00             0.07               355.69   
0.04            0.02             0.00              0.00             0.06               355.75   
0.04            0.02             0.00              0.00             0.06               355.81   
0.04            0.03             0.00              0.00             0.07               355.88   
0.04            0.04             0.00              0.00             0.08               355.96   
0.04            0.05             0.00              0.00             0.09               356.05   
0.04            0.04             0.00              0.00             0.08               356.13   
0.04            0.03             0.00              0.00             0.07               356.20   
0.07            0.04             0.00              0.00             0.11               356.31   
0.04            0.04             0.00              0.00             0.08               356.39   
0.04            0.02             0.00              0.00             0.06               356.45   
0.04            0.03             0.00              0.00             0.07               356.52   
0.04            0.01             0.00              0.00             0.05               356.57   
0.07            0.02             0.00              0.00             0.09               356.66   
0.05            0.03             0.00              0.00             0.08               356.74   
0.04            0.01             0.00              0.00             0.05               356.79   
0.04            0.01             0.00              0.00             0.05               356.84   
0.04            0.01             0.00              0.00             0.05               356.89   
0.04            0.01             0.00              0.00             0.05               356.94   
0.04            0.03             0.00              0.00             0.07               357.01   
0.06            0.03             0.00              0.00             0.09               357.10   
0.04            0.02             0.00              0.00             0.06               357.16   
0.04            0.01             0.00              0.00             0.05               357.21   
0.04            0.01             0.00              0.00             0.05               357.26   
0.04            0.00             0.00              0.00             0.04               357.30   
0.03            0.00             0.00              0.00             0.03               357.33   
0.04            0.01             0.00              0.00             0.05               357.38   
0.06            0.00             0.00              0.00             0.06               357.44   
0.00            0.00             0.00              2.32             2.32               359.76   
