Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             8.31              0.00             8.31               111.07   
0.34            0.09             0.00              0.00             0.43               111.50   
0.06            0.04             0.00              0.00             0.10               111.60   
0.04            0.04             0.00              0.00             0.08               111.68   
0.04            0.04             0.00              0.00             0.08               111.76   
0.13            0.04             0.00              0.00             0.17               111.93   
0.03            0.04             0.00              0.00             0.07               112.00   
0.03            0.05             0.00              0.00             0.08               112.08   
0.03            0.03             0.00              0.00             0.06               112.14   
0.04            0.03             0.00              0.00             0.07               112.21   
0.03            0.03             0.00              0.00             0.06               112.27   
0.03            0.03             0.00              0.00             0.06               112.33   
0.03            0.02             0.00              0.00             0.05               112.38   
0.03            0.02             0.00              0.00             0.05               112.43   
0.03            0.03             0.00              0.00             0.06               112.49   
0.03            0.02             0.00              0.00             0.05               112.54   
0.03            0.00             0.00              0.00             0.03               112.57   
0.00            0.00             0.00              0.21             0.21               112.78   
