Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             6.12              0.00             6.12               77.70    
0.25            0.06             0.00              0.00             0.31               78.01    
0.07            0.04             0.00              0.00             0.11               78.12    
0.03            0.04             0.00              0.00             0.07               78.19    
0.03            0.04             0.00              0.00             0.07               78.26    
0.03            0.04             0.00              0.00             0.07               78.33    
0.03            0.03             0.00              0.00             0.06               78.39    
0.03            0.03             0.00              0.00             0.06               78.45    
0.03            0.02             0.00              0.00             0.05               78.50    
0.03            0.06             0.00              0.00             0.09               78.59    
0.03            0.03             0.00              0.00             0.06               78.65    
0.03            0.05             0.00              0.00             0.08               78.73    
0.03            0.02             0.00              0.00             0.05               78.78    
0.03            0.02             0.00              0.00             0.05               78.83    
0.03            0.01             0.00              0.00             0.04               78.87    
0.03            0.02             0.00              0.00             0.05               78.92    
0.03            0.00             0.00              0.00             0.03               78.95    
0.00            0.00             0.00              0.21             0.21               79.16    
