Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             26.20             0.00             26.20              348.85   
0.30            0.09             0.00              0.00             0.39               349.24   
0.05            0.05             0.00              0.00             0.10               349.34   
0.03            0.07             0.00              0.00             0.10               349.44   
0.03            0.06             0.00              0.00             0.09               349.53   
0.03            0.05             0.00              0.00             0.08               349.61   
0.04            0.05             0.00              0.00             0.09               349.70   
0.03            0.05             0.00              0.00             0.08               349.78   
0.03            0.05             0.00              0.00             0.08               349.86   
0.03            0.03             0.00              0.00             0.06               349.92   
0.02            0.02             0.00              0.00             0.04               349.96   
0.04            0.03             0.00              0.00             0.07               350.03   
0.03            0.03             0.00              0.00             0.06               350.09   
0.03            0.04             0.00              0.00             0.07               350.16   
0.03            0.04             0.00              0.00             0.07               350.23   
0.03            0.03             0.00              0.00             0.06               350.29   
0.02            0.03             0.00              0.00             0.05               350.34   
0.02            0.03             0.00              0.00             0.05               350.39   
0.04            0.03             0.00              0.00             0.07               350.46   
0.03            0.02             0.00              0.00             0.05               350.51   
0.03            0.03             0.00              0.00             0.06               350.57   
0.03            0.03             0.00              0.00             0.06               350.63   
0.04            0.01             0.00              0.00             0.05               350.68   
0.02            0.02             0.00              0.00             0.04               350.72   
0.02            0.01             0.00              0.00             0.03               350.75   
0.03            0.01             0.00              0.00             0.04               350.79   
0.03            0.01             0.00              0.00             0.04               350.83   
0.02            0.01             0.00              0.00             0.03               350.86   
0.02            0.02             0.00              0.00             0.04               350.90   
0.03            0.02             0.00              0.00             0.05               350.95   
0.03            0.02             0.00              0.00             0.05               351.00   
0.03            0.01             0.00              0.00             0.04               351.04   
0.03            0.01             0.00              0.00             0.04               351.08   
0.03            0.00             0.00              0.00             0.03               351.11   
0.02            0.00             0.00              0.00             0.02               351.13   
0.03            0.00             0.00              0.00             0.03               351.16   
0.02            0.00             0.00              0.00             0.02               351.18   
0.00            0.00             0.00              2.11             2.11               353.29   
