Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             15.18             0.00             15.18              232.40   
0.28            0.07             0.00              0.00             0.35               232.75   
0.05            0.06             0.00              0.00             0.11               232.86   
0.03            0.05             0.00              0.00             0.08               232.94   
0.02            0.04             0.00              0.00             0.06               233.00   
0.03            0.03             0.00              0.00             0.06               233.06   
0.02            0.03             0.00              0.00             0.05               233.11   
0.02            0.04             0.00              0.00             0.06               233.17   
0.02            0.05             0.00              0.00             0.07               233.24   
0.02            0.03             0.00              0.00             0.05               233.29   
0.02            0.04             0.00              0.00             0.06               233.35   
0.03            0.04             0.00              0.00             0.07               233.42   
0.02            0.02             0.00              0.00             0.04               233.46   
0.02            0.04             0.00              0.00             0.06               233.52   
0.02            0.03             0.00              0.00             0.05               233.57   
0.02            0.02             0.00              0.00             0.04               233.61   
0.02            0.02             0.00              0.00             0.04               233.65   
0.02            0.03             0.00              0.00             0.05               233.70   
0.02            0.02             0.00              0.00             0.04               233.74   
0.02            0.03             0.00              0.00             0.05               233.79   
0.02            0.02             0.00              0.00             0.04               233.83   
0.02            0.02             0.00              0.00             0.04               233.87   
0.02            0.03             0.00              0.00             0.05               233.92   
0.02            0.02             0.00              0.00             0.04               233.96   
0.02            0.02             0.00              0.00             0.04               234.00   
0.02            0.02             0.00              0.00             0.04               234.04   
0.02            0.01             0.00              0.00             0.03               234.07   
0.02            0.01             0.00              0.00             0.03               234.10   
0.02            0.01             0.00              0.00             0.03               234.13   
0.02            0.02             0.00              0.00             0.04               234.17   
0.02            0.02             0.00              0.00             0.04               234.21   
0.02            0.01             0.00              0.00             0.03               234.24   
0.02            0.01             0.00              0.00             0.03               234.27   
0.02            0.01             0.00              0.00             0.03               234.30   
0.02            0.02             0.00              0.00             0.04               234.34   
0.02            0.00             0.00              0.00             0.02               234.36   
0.02            0.01             0.00              0.00             0.03               234.39   
0.00            0.00             0.00              1.66             1.66               236.05   
