Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             19.47             0.00             19.47              246.53   
0.22            0.07             0.00              0.00             0.29               246.82   
0.04            0.04             0.00              0.00             0.08               246.90   
0.02            0.05             0.00              0.00             0.07               246.97   
0.02            0.05             0.00              0.00             0.07               247.04   
0.02            0.04             0.00              0.00             0.06               247.10   
0.02            0.04             0.00              0.00             0.06               247.16   
0.02            0.04             0.00              0.00             0.06               247.22   
0.02            0.03             0.00              0.00             0.05               247.27   
0.02            0.03             0.00              0.00             0.05               247.32   
0.02            0.02             0.00              0.00             0.04               247.36   
0.02            0.02             0.00              0.00             0.04               247.40   
0.02            0.03             0.00              0.00             0.05               247.45   
0.02            0.03             0.00              0.00             0.05               247.50   
0.02            0.05             0.00              0.00             0.07               247.57   
0.02            0.02             0.00              0.00             0.04               247.61   
0.02            0.02             0.00              0.00             0.04               247.65   
0.02            0.04             0.00              0.00             0.06               247.71   
0.02            0.02             0.00              0.00             0.04               247.75   
0.02            0.02             0.00              0.00             0.04               247.79   
0.02            0.02             0.00              0.00             0.04               247.83   
0.02            0.01             0.00              0.00             0.03               247.86   
0.02            0.01             0.00              0.00             0.03               247.89   
0.02            0.02             0.00              0.00             0.04               247.93   
0.02            0.01             0.00              0.00             0.03               247.96   
0.02            0.01             0.00              0.00             0.03               247.99   
0.02            0.01             0.00              0.00             0.03               248.02   
0.02            0.01             0.00              0.00             0.03               248.05   
0.02            0.02             0.00              0.00             0.04               248.09   
0.02            0.03             0.00              0.00             0.05               248.14   
0.03            0.02             0.00              0.00             0.05               248.19   
0.03            0.01             0.00              0.00             0.04               248.23   
0.02            0.01             0.00              0.00             0.03               248.26   
0.03            0.00             0.00              0.00             0.03               248.29   
0.02            0.00             0.00              0.00             0.02               248.31   
0.02            0.00             0.00              0.00             0.02               248.33   
0.02            0.00             0.00              0.00             0.02               248.35   
0.00            0.00             0.00              1.70             1.70               250.05   
