NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	1	1	16	20.64	16.06	2.62	0.47	1.49
2	1	1	23	22.09	16.05	3.73	0.74	1.57
2	2	2	35	44.70	37.61	4.83	0.38	1.89
2	4	2	36	47.99	42.57	2.98	0.49	1.96
2	4	2	36	33.14	27.79	3.36	0.33	1.66
2	0	0	16	9.90	8.50	1.40	0.00	0.00
2	0	0	16	7.43	6.21	1.22	0.00	0.00
2	1	1	23	15.79	7.08	4.62	0.36	3.74
2	2	1	36	30.53	26.27	2.43	0.19	1.64
2	2	1	35	23.64	19.41	2.53	0.17	1.53
2	1	1	36	18.71	15.29	1.95	0.12	1.34
2	2	1	36	22.79	19.51	1.76	0.14	1.37
