Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             1430.88           0.00             1430.88            18353.22 
2.65            2.05             0.00              0.00             4.70               18357.92 
0.04            1.03             0.00              0.00             1.07               18358.99 
0.03            0.92             0.00              0.00             0.95               18359.94 
0.03            1.01             0.00              0.00             1.04               18360.98 
0.03            1.00             0.00              0.00             1.03               18362.01 
0.04            0.93             0.00              0.00             0.97               18362.98 
0.03            0.99             0.00              0.00             1.02               18364.00 
0.03            0.99             0.00              0.00             1.02               18365.02 
0.03            1.00             0.00              0.00             1.03               18366.05 
0.03            0.92             0.00              0.00             0.95               18367.00 
0.03            0.89             0.00              0.00             0.92               18367.92 
0.02            0.94             0.00              0.00             0.96               18368.88 
0.03            1.01             0.00              0.00             1.04               18369.92 
0.03            0.83             0.00              0.00             0.86               18370.78 
0.02            0.78             0.00              0.00             0.80               18371.58 
0.02            0.98             0.00              0.00             1.00               18372.58 
0.03            1.02             0.00              0.00             1.05               18373.63 
0.03            0.97             0.00              0.00             1.00               18374.63 
0.03            1.98             0.00              0.00             2.01               18376.64 
0.03            0.95             0.00              0.00             0.98               18377.62 
0.03            1.93             0.00              0.00             1.96               18379.58 
0.03            0.77             0.00              0.00             0.80               18380.38 
0.03            0.83             0.00              0.00             0.86               18381.24 
0.03            0.93             0.00              0.00             0.96               18382.20 
0.03            1.00             0.00              0.00             1.03               18383.23 
0.03            0.97             0.00              0.00             1.00               18384.23 
0.03            0.97             0.00              0.00             1.00               18385.23 
0.03            0.97             0.00              0.00             1.00               18386.23 
0.03            0.84             0.00              0.00             0.87               18387.10 
0.02            0.13             0.00              0.00             0.15               18387.25 
0.02            0.11             0.00              0.00             0.13               18387.38 
0.02            0.11             0.00              0.00             0.13               18387.51 
0.02            0.86             0.00              0.00             0.88               18388.39 
0.02            0.11             0.00              0.00             0.13               18388.52 
0.02            0.88             0.00              0.00             0.90               18389.42 
0.02            0.10             0.00              0.00             0.12               18389.54 
0.02            0.13             0.00              0.00             0.15               18389.69 
0.02            0.13             0.00              0.00             0.15               18389.84 
0.02            0.10             0.00              0.00             0.12               18389.96 
0.02            0.12             0.00              0.00             0.14               18390.10 
0.02            0.14             0.00              0.00             0.16               18390.26 
0.03            0.13             0.00              0.00             0.16               18390.42 
0.02            0.13             0.00              0.00             0.15               18390.57 
0.02            0.12             0.00              0.00             0.14               18390.71 
0.02            0.12             0.00              0.00             0.14               18390.85 
0.02            0.81             0.00              0.00             0.83               18391.68 
0.02            0.11             0.00              0.00             0.13               18391.81 
0.02            0.81             0.00              0.00             0.83               18392.64 
0.03            0.12             0.00              0.00             0.15               18392.79 
0.02            0.12             0.00              0.00             0.14               18392.93 
0.02            0.12             0.00              0.00             0.14               18393.07 
0.02            0.12             0.00              0.00             0.14               18393.21 
0.02            0.11             0.00              0.00             0.13               18393.34 
0.02            0.11             0.00              0.00             0.13               18393.47 
0.02            0.12             0.00              0.00             0.14               18393.61 
0.02            0.11             0.00              0.00             0.13               18393.74 
0.02            0.12             0.00              0.00             0.14               18393.88 
0.02            0.11             0.00              0.00             0.13               18394.01 
0.02            0.11             0.00              0.00             0.13               18394.14 
0.02            0.13             0.00              0.00             0.15               18394.29 
0.02            0.11             0.00              0.00             0.13               18394.42 
0.02            0.10             0.00              0.00             0.12               18394.54 
0.02            0.12             0.00              0.00             0.14               18394.68 
0.02            0.13             0.00              0.00             0.15               18394.83 
0.02            0.12             0.00              0.00             0.14               18394.97 
0.02            0.86             0.00              0.00             0.88               18395.85 
0.02            0.86             0.00              0.00             0.88               18396.73 
0.02            0.12             0.00              0.00             0.14               18396.87 
0.02            0.10             0.00              0.00             0.12               18396.99 
0.02            0.11             0.00              0.00             0.13               18397.12 
0.01            0.13             0.00              0.00             0.14               18397.26 
0.02            0.13             0.00              0.00             0.15               18397.41 
0.02            0.13             0.00              0.00             0.15               18397.56 
0.02            0.13             0.00              0.00             0.15               18397.71 
0.02            0.87             0.00              0.00             0.89               18398.60 
0.02            0.12             0.00              0.00             0.14               18398.74 
0.02            0.12             0.00              0.00             0.14               18398.88 
0.02            0.12             0.00              0.00             0.14               18399.02 
0.02            0.88             0.00              0.00             0.90               18399.92 
0.02            0.13             0.00              0.00             0.15               18400.07 
0.02            0.13             0.00              0.00             0.15               18400.22 
0.02            0.13             0.00              0.00             0.15               18400.37 
0.02            0.13             0.00              0.00             0.15               18400.52 
0.02            0.14             0.00              0.00             0.16               18400.68 
0.02            0.12             0.00              0.00             0.14               18400.82 
0.02            0.12             0.00              0.00             0.14               18400.96 
0.02            0.12             0.00              0.00             0.14               18401.10 
0.02            0.12             0.00              0.00             0.14               18401.24 
0.02            0.12             0.00              0.00             0.14               18401.38 
0.02            0.12             0.00              0.00             0.14               18401.52 
0.02            0.11             0.00              0.00             0.13               18401.65 
0.02            0.12             0.00              0.00             0.14               18401.79 
0.02            0.11             0.00              0.00             0.13               18401.92 
0.02            0.11             0.00              0.00             0.13               18402.05 
0.02            0.84             0.00              0.00             0.86               18402.91 
0.02            0.87             0.00              0.00             0.89               18403.80 
0.03            0.12             0.00              0.00             0.15               18403.95 
0.02            0.13             0.00              0.00             0.15               18404.10 
0.02            0.10             0.00              0.00             0.12               18404.22 
0.02            0.88             0.00              0.00             0.90               18405.12 
0.02            0.85             0.00              0.00             0.87               18405.99 
0.02            0.11             0.00              0.00             0.13               18406.12 
0.02            0.10             0.00              0.00             0.12               18406.24 
0.02            0.11             0.00              0.00             0.13               18406.37 
0.02            0.12             0.00              0.00             0.14               18406.51 
0.02            0.12             0.00              0.00             0.14               18406.65 
0.02            0.12             0.00              0.00             0.14               18406.79 
0.02            0.11             0.00              0.00             0.13               18406.92 
0.02            0.13             0.00              0.00             0.15               18407.07 
0.02            0.12             0.00              0.00             0.14               18407.21 
0.02            0.13             0.00              0.00             0.15               18407.36 
0.02            0.12             0.00              0.00             0.14               18407.50 
0.02            0.12             0.00              0.00             0.14               18407.64 
0.02            0.12             0.00              0.00             0.14               18407.78 
0.02            0.12             0.00              0.00             0.14               18407.92 
0.02            0.86             0.00              0.00             0.88               18408.80 
0.02            0.12             0.00              0.00             0.14               18408.94 
0.02            0.86             0.00              0.00             0.88               18409.82 
0.02            0.12             0.00              0.00             0.14               18409.96 
0.02            0.14             0.00              0.00             0.16               18410.12 
0.02            0.13             0.00              0.00             0.15               18410.27 
0.02            0.13             0.00              0.00             0.15               18410.42 
0.02            0.91             0.00              0.00             0.93               18411.35 
0.02            0.10             0.00              0.00             0.12               18411.47 
0.02            0.11             0.00              0.00             0.13               18411.60 
0.02            0.12             0.00              0.00             0.14               18411.74 
0.02            0.12             0.00              0.00             0.14               18411.88 
0.02            0.12             0.00              0.00             0.14               18412.02 
0.02            0.10             0.00              0.00             0.12               18412.14 
0.02            0.87             0.00              0.00             0.89               18413.03 
0.03            0.11             0.00              0.00             0.14               18413.17 
0.02            0.13             0.00              0.00             0.15               18413.32 
0.02            0.10             0.00              0.00             0.12               18413.44 
0.02            0.90             0.00              0.00             0.92               18414.36 
0.02            0.12             0.00              0.00             0.14               18414.50 
0.02            0.12             0.00              0.00             0.14               18414.64 
0.02            0.12             0.00              0.00             0.14               18414.78 
0.02            0.12             0.00              0.00             0.14               18414.92 
0.02            0.12             0.00              0.00             0.14               18415.06 
0.02            0.12             0.00              0.00             0.14               18415.20 
0.02            0.87             0.00              0.00             0.89               18416.09 
0.02            0.13             0.00              0.00             0.15               18416.24 
0.02            0.13             0.00              0.00             0.15               18416.39 
0.03            0.12             0.00              0.00             0.15               18416.54 
0.02            0.12             0.00              0.00             0.14               18416.68 
0.02            0.12             0.00              0.00             0.14               18416.82 
0.02            0.12             0.00              0.00             0.14               18416.96 
0.02            0.83             0.00              0.00             0.85               18417.81 
0.02            0.12             0.00              0.00             0.14               18417.95 
0.02            0.82             0.00              0.00             0.84               18418.79 
0.02            0.12             0.00              0.00             0.14               18418.93 
0.02            0.12             0.00              0.00             0.14               18419.07 
0.02            0.11             0.00              0.00             0.13               18419.20 
0.01            0.12             0.00              0.00             0.13               18419.33 
0.02            0.12             0.00              0.00             0.14               18419.47 
0.02            0.10             0.00              0.00             0.12               18419.59 
0.02            0.89             0.00              0.00             0.91               18420.50 
0.02            0.88             0.00              0.00             0.90               18421.40 
0.02            0.11             0.00              0.00             0.13               18421.53 
0.02            0.11             0.00              0.00             0.13               18421.66 
0.02            0.09             0.00              0.00             0.11               18421.77 
0.02            0.12             0.00              0.00             0.14               18421.91 
0.02            0.11             0.00              0.00             0.13               18422.04 
0.02            0.12             0.00              0.00             0.14               18422.18 
0.02            0.13             0.00              0.00             0.15               18422.33 
0.02            0.12             0.00              0.00             0.14               18422.47 
0.02            0.89             0.00              0.00             0.91               18423.38 
0.03            0.14             0.00              0.00             0.17               18423.55 
0.02            0.10             0.00              0.00             0.12               18423.67 
0.02            0.11             0.00              0.00             0.13               18423.80 
0.02            0.10             0.00              0.00             0.12               18423.92 
0.02            0.87             0.00              0.00             0.89               18424.81 
0.02            0.11             0.00              0.00             0.13               18424.94 
0.02            0.11             0.00              0.00             0.13               18425.07 
0.02            0.10             0.00              0.00             0.12               18425.19 
0.02            0.74             0.00              0.00             0.76               18425.95 
0.02            0.10             0.00              0.00             0.12               18426.07 
0.02            0.10             0.00              0.00             0.12               18426.19 
0.02            0.73             0.00              0.00             0.75               18426.94 
0.02            0.10             0.00              0.00             0.12               18427.06 
0.02            0.10             0.00              0.00             0.12               18427.18 
0.02            0.11             0.00              0.00             0.13               18427.31 
0.02            0.10             0.00              0.00             0.12               18427.43 
0.02            0.10             0.00              0.00             0.12               18427.55 
0.02            0.68             0.00              0.00             0.70               18428.25 
0.02            0.12             0.00              0.00             0.14               18428.39 
0.02            0.10             0.00              0.00             0.12               18428.51 
0.02            0.10             0.00              0.00             0.12               18428.63 
0.02            0.68             0.00              0.00             0.70               18429.33 
0.02            0.10             0.00              0.00             0.12               18429.45 
0.02            0.09             0.00              0.00             0.11               18429.56 
0.02            0.11             0.00              0.00             0.13               18429.69 
0.03            0.13             0.00              0.00             0.16               18429.85 
0.02            0.13             0.00              0.00             0.15               18430.00 
0.02            0.11             0.00              0.00             0.13               18430.13 
0.02            0.91             0.00              0.00             0.93               18431.06 
0.03            0.89             0.00              0.00             0.92               18431.98 
0.02            0.10             0.00              0.00             0.12               18432.10 
0.02            0.87             0.00              0.00             0.89               18432.99 
0.03            0.10             0.00              0.00             0.13               18433.12 
0.02            0.12             0.00              0.00             0.14               18433.26 
0.02            0.89             0.00              0.00             0.91               18434.17 
0.02            0.13             0.00              0.00             0.15               18434.32 
0.02            0.13             0.00              0.00             0.15               18434.47 
0.02            0.12             0.00              0.00             0.14               18434.61 
0.02            0.11             0.00              0.00             0.13               18434.74 
0.02            0.11             0.00              0.00             0.13               18434.87 
0.02            0.12             0.00              0.00             0.14               18435.01 
0.02            0.12             0.00              0.00             0.14               18435.15 
0.02            0.85             0.00              0.00             0.87               18436.02 
0.03            0.10             0.00              0.00             0.13               18436.15 
0.02            0.84             0.00              0.00             0.86               18437.01 
0.03            0.86             0.00              0.00             0.89               18437.90 
0.03            0.88             0.00              0.00             0.91               18438.81 
0.02            0.85             0.00              0.00             0.87               18439.68 
0.02            0.88             0.00              0.00             0.90               18440.58 
0.03            0.85             0.00              0.00             0.88               18441.46 
0.02            0.85             0.00              0.00             0.87               18442.33 
0.03            0.88             0.00              0.00             0.91               18443.24 
0.02            0.78             0.00              0.00             0.80               18444.04 
0.02            1.86             0.00              0.00             1.88               18445.92 
0.03            0.72             0.00              0.00             0.75               18446.67 
0.03            0.14             0.00              0.00             0.17               18446.84 
0.02            0.88             0.00              0.00             0.90               18447.74 
0.02            0.12             0.00              0.00             0.14               18447.88 
0.02            0.12             0.00              0.00             0.14               18448.02 
0.02            0.12             0.00              0.00             0.14               18448.16 
0.03            0.67             0.00              0.00             0.70               18448.86 
0.02            0.86             0.00              0.00             0.88               18449.74 
0.02            0.74             0.00              0.00             0.76               18450.50 
0.04            0.92             0.00              0.00             0.96               18451.46 
0.02            0.85             0.00              0.00             0.87               18452.33 
0.02            0.79             0.00              0.00             0.81               18453.14 
0.02            0.91             0.00              0.00             0.93               18454.07 
0.02            0.89             0.00              0.00             0.91               18454.98 
0.03            0.10             0.00              0.00             0.13               18455.11 
0.02            0.11             0.00              0.00             0.13               18455.24 
0.02            0.10             0.00              0.00             0.12               18455.36 
0.02            0.10             0.00              0.00             0.12               18455.48 
0.02            0.11             0.00              0.00             0.13               18455.61 
0.02            0.11             0.00              0.00             0.13               18455.74 
0.02            0.11             0.00              0.00             0.13               18455.87 
0.02            0.10             0.00              0.00             0.12               18455.99 
0.02            0.11             0.00              0.00             0.13               18456.12 
0.02            0.13             0.00              0.00             0.15               18456.27 
0.02            0.11             0.00              0.00             0.13               18456.40 
