Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.56          0.00             0.00             3.56               112.71   
0.08            0.00          0.04             0.00             0.12               112.83   
0.02            0.00          0.03             0.00             0.05               112.88   
0.02            0.00          0.02             0.00             0.04               112.92   
0.02            0.00          0.02             0.00             0.04               112.96   
0.02            0.00          0.02             0.00             0.04               113.00   
0.02            0.00          0.02             0.00             0.04               113.04   
0.02            0.00          0.02             0.00             0.04               113.08   
0.02            0.00          0.02             0.00             0.04               113.12   
0.02            0.00          0.00             0.00             0.02               113.14   
0.02            0.00          0.00             0.00             0.02               113.16   
0.02            0.00          0.00             0.00             0.02               113.18   
0.02            0.00          0.00             0.00             0.02               113.20   
0.02            0.00          0.00             0.00             0.02               113.22   
0.02            0.00          0.00             0.00             0.02               113.24   
0.02            0.00          0.00             0.00             0.02               113.26   
0.02            0.00          0.00             0.00             0.02               113.28   
0.02            0.00          0.00             0.00             0.02               113.30   
0.02            0.00          0.00             0.00             0.02               113.32   
0.02            0.00          0.00             0.00             0.02               113.34   
0.02            0.00          0.00             0.00             0.02               113.36   
0.00            0.00          0.00             1.51             1.51               114.87   
