NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	32.39	27.42	2.91	0.42	1.64
2	4	2	36	45.15	39.72	3.20	0.48	1.76
3	9	3	64	61.07	54.07	4.38	0.73	1.89
4	16	4	100	80.23	72.46	5.10	0.97	1.70
5	25	5	144	133.49	122.25	7.51	1.77	1.97
6	36	6	196	215.96	198.45	11.57	3.59	2.35
7	49	7	256	267.79	239.12	17.40	8.39	2.88
8	64	8	324	385.96	340.32	28.15	13.71	3.78
9	81	9	400	499.86	426.76	38.45	29.53	5.12
10	100	10	484	674.26	564.31	53.19	49.70	7.07
11	121	11	576	880.33	718.79	79.75	71.87	9.93
12	144	12	676	1357.74	1114.57	105.79	123.45	13.93
13	169	13	784	1822.62	1496.51	145.12	161.60	19.39
14	196	14	900	2138.40	1631.52	191.07	290.29	25.51
15	225	15	1024	2651.77	1980.43	256.69	380.11	34.53
