Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            22.47         0.00             0.00             22.47              1575.13  
0.44            0.00          0.07             0.00             0.51               1575.64  
0.07            0.00          0.05             0.00             0.12               1575.76  
0.04            0.00          0.05             0.00             0.09               1575.85  
0.04            0.00          0.05             0.00             0.09               1575.94  
0.04            0.00          0.04             0.00             0.08               1576.02  
0.04            0.00          0.03             0.00             0.07               1576.09  
0.03            0.00          0.03             0.00             0.06               1576.15  
0.03            0.00          0.03             0.00             0.06               1576.21  
0.06            0.00          0.04             0.00             0.10               1576.31  
0.04            0.00          0.03             0.00             0.07               1576.38  
0.03            0.00          0.03             0.00             0.06               1576.44  
0.06            0.00          0.02             0.00             0.08               1576.52  
0.03            0.00          0.02             0.00             0.05               1576.57  
0.03            0.00          0.02             0.00             0.05               1576.62  
0.04            0.00          0.02             0.00             0.06               1576.68  
0.04            0.00          0.00             0.00             0.04               1576.72  
0.00            0.00          0.00             2.49             2.49               1579.21  
