Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            41.22         0.00             0.00             41.22              41.22    
0.04            0.00          0.00             0.00             1.35               42.57    
0.02            0.00          0.00             0.00             0.33               42.90    
0.03            0.00          0.00             0.00             0.08               42.98    
0.03            0.00          0.00             0.00             0.24               43.22    
0.04            0.00          0.00             0.00             0.04               43.26    
0.04            0.00          0.00             0.00             0.04               43.30    
0.04            0.00          0.00             0.00             0.04               43.34    
0.03            0.00          0.00             0.00             0.18               43.52    
0.04            0.00          0.00             0.00             0.04               43.56    
0.03            0.00          0.00             0.00             0.07               43.63    
0.06            0.00          0.00             0.00             0.13               43.76    
0.05            0.00          0.00             0.00             0.09               43.85    
0.03            0.00          0.00             0.00             0.07               43.92    
0.03            0.00          0.00             0.00             0.52               44.44    
0.03            0.00          0.00             0.00             0.18               44.62    
0.01            0.00          0.00             0.00             0.20               44.82    
0.01            0.00          0.00             0.00             0.19               45.01    
0.01            0.00          0.00             0.00             0.08               45.09    
0.01            0.00          0.00             0.00             0.07               45.16    
0.01            0.00          0.00             0.00             0.05               45.21    
0.04            0.00          0.00             0.00             0.04               45.25    
0.02            0.00          0.00             0.00             0.06               45.31    
0.04            0.00          0.00             0.00             0.08               45.39    
0.04            0.00          0.00             0.00             0.04               45.43    
0.04            0.00          0.00             0.00             0.04               45.47    
0.03            0.00          0.00             0.00             0.07               45.54    
0.04            0.00          0.00             0.00             0.04               45.58    
0.05            0.00          0.00             0.00             0.05               45.63    
0.04            0.00          0.00             0.00             0.04               45.67    
0.04            0.00          0.00             0.00             0.04               45.71    
0.04            0.00          0.00             0.00             0.04               45.75    
0.04            0.00          0.00             0.00             0.04               45.79    
0.03            0.00          0.00             0.00             0.12               45.91    
0.01            0.00          0.00             0.00             0.05               45.96    
0.04            0.00          0.00             0.00             0.04               46.00    
0.01            0.00          0.00             0.00             0.05               46.05    
0.04            0.00          0.00             0.00             0.04               46.09    
0.04            0.00          0.00             0.00             0.04               46.13    
0.04            0.00          0.00             0.00             0.04               46.17    
0.04            0.00          0.00             0.00             0.08               46.25    
0.04            0.00          0.00             0.00             0.04               46.29    
0.04            0.00          0.00             0.00             0.04               46.33    
0.04            0.00          0.00             0.00             0.04               46.37    
0.06            0.00          0.00             0.00             0.06               46.43    
0.04            0.00          0.00             0.00             0.04               46.47    
0.04            0.00          0.00             0.00             0.04               46.51    
0.01            0.00          0.00             0.00             0.11               46.62    
0.04            0.00          0.00             0.00             0.04               46.66    
0.04            0.00          0.00             0.00             0.04               46.70    
0.01            0.00          0.00             0.00             0.05               46.75    
0.02            0.00          0.00             0.00             0.40               47.15    
0.04            0.00          0.00             0.00             0.04               47.19    
0.04            0.00          0.00             0.00             0.04               47.23    
0.04            0.00          0.00             0.00             0.04               47.27    
0.04            0.00          0.00             0.00             0.04               47.31    
0.04            0.00          0.00             0.00             0.04               47.35    
0.04            0.00          0.00             0.00             0.04               47.39    
0.04            0.00          0.00             0.00             0.04               47.43    
0.01            0.00          0.00             0.00             0.06               47.49    
0.04            0.00          0.00             0.00             0.04               47.53    
0.04            0.00          0.00             0.00             0.04               47.57    
0.03            0.00          0.00             0.00             0.03               47.60    
0.04            0.00          0.00             0.00             0.04               47.64    
0.04            0.00          0.00             0.00             0.04               47.68    
0.04            0.00          0.00             0.00             0.04               47.72    
0.04            0.00          0.00             0.00             0.04               47.76    
0.04            0.00          0.00             0.00             0.04               47.80    
0.04            0.00          0.00             0.00             0.04               47.84    
0.01            0.00          0.00             0.00             0.04               47.88    
0.00            0.00          0.00             0.72             0.78               48.66    
