NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	8	8	20	6.82	6.01	0.63	0.18	0.00
1	2	2	12	4.91	4.55	0.26	0.10	0.00
1	12	12	20	5.94	5.30	0.45	0.19	0.00
2	8	8	20	8.77	7.91	0.67	0.19	0.00
1	10	10	36	9.58	8.65	0.76	0.17	0.00
2	14	14	32	16.08	14.83	1.01	0.25	0.00
1	2	2	12	8.85	8.49	0.26	0.10	0.00
2	8	8	20	7.89	7.06	0.65	0.18	0.00
3	16	16	76	41.35	38.25	2.71	0.39	0.00
1	4	4	9	12.29	11.96	0.22	0.11	0.00
2	8	8	20	7.29	6.48	0.63	0.18	0.00
1	21	21	32	10.02	9.13	0.65	0.24	0.00
1	12	12	20	5.36	4.78	0.41	0.17	0.00
1	48	48	136	46.50	42.79	3.14	0.58	0.00
1	240	240	408	42.87	29.13	11.32	2.42	0.00
1	45	45	128	34.96	31.72	2.73	0.50	0.00
1	45	45	128	30.34	27.02	2.81	0.51	0.00
2	8	8	20	8.68	7.87	0.63	0.18	0.00
2	8	8	20	6.43	5.65	0.61	0.17	0.00
2	8	8	20	7.64	6.87	0.61	0.17	0.00
2	8	8	20	7.64	6.84	0.62	0.18	0.00
1	4	4	18	10.17	9.68	0.38	0.11	0.00
2	8	8	20	8.02	7.21	0.64	0.18	0.00
1	12	12	20	5.65	5.04	0.43	0.18	0.00
1	12	12	20	5.70	5.10	0.42	0.17	0.00
3	14	14	67	22.29	19.45	2.49	0.36	0.00
1	2	2	12	4.53	4.18	0.25	0.10	0.00
2	5	5	24	9.97	9.13	0.68	0.16	0.00
2	8	8	20	10.73	9.81	0.73	0.18	0.00
1	12	12	20	5.53	4.91	0.44	0.18	0.00
2	10	10	36	9.86	8.92	0.76	0.17	0.00
2	8	8	20	7.25	6.41	0.66	0.18	0.00
2	8	8	20	6.95	6.13	0.64	0.18	0.00
2	8	8	20	8.91	8.05	0.68	0.19	0.00
1	21	21	32	10.56	9.63	0.68	0.26	0.00
1	12	12	20	6.22	5.63	0.42	0.17	0.00
1	12	12	20	5.64	5.04	0.43	0.18	0.00
3	14	14	59	18.80	16.31	2.14	0.34	0.00
2	14	14	32	11.23	9.98	1.00	0.25	0.00
1	12	12	20	6.41	5.79	0.44	0.18	0.00
1	12	12	20	6.05	5.40	0.45	0.19	0.00
