Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.96          0.00             0.00             3.96               92.09    
0.10            0.00          0.02             0.00             0.12               92.21    
0.03            0.00          0.01             0.00             0.04               92.25    
0.02            0.00          0.01             0.00             0.03               92.28    
0.02            0.00          0.01             0.00             0.03               92.31    
0.02            0.00          0.01             0.00             0.03               92.34    
0.02            0.00          0.01             0.00             0.03               92.37    
0.02            0.00          0.01             0.00             0.03               92.40    
0.02            0.00          0.01             0.00             0.03               92.43    
0.02            0.00          0.00             0.00             0.02               92.45    
0.00            0.00          0.02             0.00             0.02               92.47    
0.00            0.00          0.01             0.00             0.01               92.48    
0.01            0.00          0.00             0.00             0.01               92.49    
0.02            0.00          0.00             0.00             0.02               92.51    
0.02            0.00          0.00             0.00             0.02               92.53    
0.00            0.00          0.02             0.00             0.02               92.55    
0.01            0.00          0.00             0.00             0.01               92.56    
0.00            0.00          0.02             0.00             0.02               92.58    
0.01            0.00          0.00             0.00             0.01               92.59    
0.02            0.00          0.00             0.00             0.02               92.61    
0.02            0.00          0.00             0.00             0.02               92.63    
0.00            0.00          0.00             0.12             0.12               92.75    
