Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            125.63        0.00             0.00             125.63             2575.53  
0.33            0.00          0.05             0.00             0.38               2575.91  
0.03            0.00          0.03             0.00             0.06               2575.97  
0.02            0.00          0.02             0.00             0.04               2576.01  
0.02            0.00          0.03             0.00             0.05               2576.06  
0.02            0.00          0.04             0.00             0.06               2576.12  
0.02            0.00          0.02             0.00             0.04               2576.16  
0.02            0.00          0.04             0.00             0.06               2576.22  
0.02            0.00          0.02             0.00             0.04               2576.26  
0.02            0.00          0.03             0.00             0.05               2576.31  
0.02            0.00          0.02             0.00             0.04               2576.35  
0.02            0.00          0.02             0.00             0.04               2576.39  
0.02            0.00          0.01             0.00             0.03               2576.42  
0.03            0.00          0.01             0.00             0.04               2576.46  
0.02            0.00          0.02             0.00             0.04               2576.50  
0.02            0.00          0.00             0.00             0.02               2576.52  
0.01            0.00          0.00             0.00             0.01               2576.53  
0.01            0.00          0.02             0.00             0.03               2576.56  
0.02            0.00          0.00             0.00             0.02               2576.58  
0.01            0.00          0.00             0.00             0.01               2576.59  
0.01            0.00          0.00             0.00             0.01               2576.60  
0.01            0.00          0.01             0.00             0.02               2576.62  
0.01            0.00          0.01             0.00             0.02               2576.64  
0.01            0.00          0.00             0.00             0.01               2576.65  
0.01            0.00          0.00             0.00             0.01               2576.66  
0.02            0.00          0.00             0.00             0.02               2576.68  
0.01            0.00          0.00             0.00             0.01               2576.69  
0.01            0.00          0.00             0.00             0.01               2576.70  
0.01            0.00          0.02             0.00             0.03               2576.73  
0.02            0.00          0.00             0.00             0.02               2576.75  
0.01            0.00          0.00             0.00             0.01               2576.76  
0.02            0.00          0.00             0.00             0.02               2576.78  
0.01            0.00          0.02             0.00             0.03               2576.81  
0.02            0.00          0.01             0.00             0.03               2576.84  
0.01            0.00          0.01             0.00             0.02               2576.86  
0.01            0.00          0.02             0.00             0.03               2576.89  
0.01            0.00          0.04             0.00             0.05               2576.94  
0.02            0.00          0.02             0.00             0.04               2576.98  
0.02            0.00          0.01             0.00             0.03               2577.01  
0.02            0.00          0.01             0.00             0.03               2577.04  
0.01            0.00          0.02             0.00             0.03               2577.07  
0.02            0.00          0.01             0.00             0.03               2577.10  
0.01            0.00          0.01             0.00             0.02               2577.12  
0.02            0.00          0.00             0.00             0.02               2577.14  
0.03            0.00          0.00             0.00             0.03               2577.17  
0.02            0.00          0.00             0.00             0.02               2577.19  
0.01            0.00          0.02             0.00             0.03               2577.22  
0.01            0.00          0.00             0.00             0.01               2577.23  
0.01            0.00          0.00             0.00             0.01               2577.24  
0.02            0.00          0.01             0.00             0.03               2577.27  
0.01            0.00          0.00             0.00             0.01               2577.28  
0.01            0.00          0.00             0.00             0.01               2577.29  
0.01            0.00          0.01             0.00             0.02               2577.31  
