Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            6.90          0.00             0.00             6.90               208.97   
0.12            0.00          0.08             0.00             0.20               209.17   
0.02            0.00          0.02             0.00             0.04               209.21   
0.02            0.00          0.02             0.00             0.04               209.25   
0.02            0.00          0.02             0.00             0.04               209.29   
0.03            0.00          0.02             0.00             0.05               209.34   
0.02            0.00          0.05             0.00             0.07               209.41   
0.02            0.00          0.02             0.00             0.04               209.45   
0.02            0.00          0.04             0.00             0.06               209.51   
0.02            0.00          0.02             0.00             0.04               209.55   
0.02            0.00          0.04             0.00             0.06               209.61   
0.03            0.00          0.02             0.00             0.05               209.66   
0.01            0.00          0.00             0.00             0.01               209.67   
0.01            0.00          0.00             0.00             0.01               209.68   
0.01            0.00          0.00             0.00             0.01               209.69   
0.01            0.00          0.00             0.00             0.01               209.70   
0.01            0.00          0.00             0.00             0.01               209.71   
0.01            0.00          0.00             0.00             0.01               209.72   
0.01            0.00          0.00             0.00             0.01               209.73   
0.01            0.00          0.00             0.00             0.01               209.74   
0.01            0.00          0.00             0.00             0.01               209.75   
0.01            0.00          0.00             0.00             0.01               209.76   
0.01            0.00          0.00             0.00             0.01               209.77   
0.01            0.00          0.00             0.00             0.01               209.78   
0.01            0.00          0.00             0.00             0.01               209.79   
0.02            0.00          0.00             0.00             0.02               209.81   
0.01            0.00          0.00             0.00             0.01               209.82   
0.01            0.00          0.00             0.00             0.01               209.83   
0.01            0.00          0.00             0.00             0.01               209.84   
0.01            0.00          0.00             0.00             0.01               209.85   
0.01            0.00          0.00             0.00             0.01               209.86   
0.01            0.00          0.00             0.00             0.01               209.87   
0.01            0.00          0.00             0.00             0.01               209.88   
0.00            0.00          0.00             0.13             0.13               210.01   
