Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            100.10        0.00             0.00             100.10             2101.39  
0.62            0.00          0.16             0.00             0.78               2102.17  
0.05            0.00          0.07             0.00             0.12               2102.29  
0.02            0.00          0.10             0.00             0.12               2102.41  
0.02            0.00          0.06             0.00             0.08               2102.49  
0.02            0.00          0.06             0.00             0.08               2102.57  
0.02            0.00          0.06             0.00             0.08               2102.65  
0.02            0.00          0.09             0.00             0.11               2102.76  
0.02            0.00          0.07             0.00             0.09               2102.85  
0.02            0.00          0.06             0.00             0.08               2102.93  
0.02            0.00          0.07             0.00             0.09               2103.02  
0.02            0.00          0.06             0.00             0.08               2103.10  
0.02            0.00          0.02             0.00             0.04               2103.14  
0.02            0.00          0.05             0.00             0.07               2103.21  
0.02            0.00          0.02             0.00             0.04               2103.25  
0.03            0.00          0.02             0.00             0.05               2103.30  
0.02            0.00          0.02             0.00             0.04               2103.34  
0.02            0.00          0.05             0.00             0.07               2103.41  
0.04            0.00          0.05             0.00             0.09               2103.50  
0.02            0.00          0.05             0.00             0.07               2103.57  
0.02            0.00          0.05             0.00             0.07               2103.64  
0.02            0.00          0.08             0.00             0.10               2103.74  
0.02            0.00          0.05             0.00             0.07               2103.81  
0.02            0.00          0.04             0.00             0.06               2103.87  
0.02            0.00          0.05             0.00             0.07               2103.94  
0.02            0.00          0.05             0.00             0.07               2104.01  
0.02            0.00          0.02             0.00             0.04               2104.05  
0.02            0.00          0.05             0.00             0.07               2104.12  
0.02            0.00          0.02             0.00             0.04               2104.16  
0.02            0.00          0.02             0.00             0.04               2104.20  
0.02            0.00          0.02             0.00             0.04               2104.24  
0.02            0.00          0.05             0.00             0.07               2104.31  
0.02            0.00          0.02             0.00             0.04               2104.35  
0.02            0.00          0.02             0.00             0.04               2104.39  
0.02            0.00          0.05             0.00             0.07               2104.46  
0.02            0.00          0.02             0.00             0.04               2104.50  
0.02            0.00          0.02             0.00             0.04               2104.54  
0.02            0.00          0.05             0.00             0.07               2104.61  
0.02            0.00          0.05             0.00             0.07               2104.68  
0.02            0.00          0.05             0.00             0.07               2104.75  
0.02            0.00          0.05             0.00             0.07               2104.82  
0.02            0.00          0.02             0.00             0.04               2104.86  
0.02            0.00          0.02             0.00             0.04               2104.90  
0.02            0.00          0.02             0.00             0.04               2104.94  
0.03            0.00          0.02             0.00             0.05               2104.99  
0.02            0.00          0.01             0.00             0.03               2105.02  
0.01            0.00          0.01             0.00             0.02               2105.04  
0.01            0.00          0.04             0.00             0.05               2105.09  
0.02            0.00          0.01             0.00             0.03               2105.12  
0.02            0.00          0.01             0.00             0.03               2105.15  
0.01            0.00          0.01             0.00             0.02               2105.17  
0.01            0.00          0.01             0.00             0.02               2105.19  
0.02            0.00          0.01             0.00             0.03               2105.22  
0.01            0.00          0.01             0.00             0.02               2105.24  
0.02            0.00          0.01             0.00             0.03               2105.27  
0.01            0.00          0.04             0.00             0.05               2105.32  
0.01            0.00          0.01             0.00             0.02               2105.34  
0.01            0.00          0.01             0.00             0.02               2105.36  
0.02            0.00          0.04             0.00             0.06               2105.42  
0.01            0.00          0.01             0.00             0.02               2105.44  
0.01            0.00          0.01             0.00             0.02               2105.46  
0.01            0.00          0.01             0.00             0.02               2105.48  
0.01            0.00          0.01             0.00             0.02               2105.50  
0.01            0.00          0.01             0.00             0.02               2105.52  
0.01            0.00          0.04             0.00             0.05               2105.57  
0.02            0.00          0.04             0.00             0.06               2105.63  
0.02            0.00          0.04             0.00             0.06               2105.69  
0.02            0.00          0.04             0.00             0.06               2105.75  
0.02            0.00          0.04             0.00             0.06               2105.81  
0.02            0.00          0.01             0.00             0.03               2105.84  
0.02            0.00          0.01             0.00             0.03               2105.87  
0.01            0.00          0.01             0.00             0.02               2105.89  
0.02            0.00          0.01             0.00             0.03               2105.92  
0.02            0.00          0.01             0.00             0.03               2105.95  
0.02            0.00          0.01             0.00             0.03               2105.98  
0.01            0.00          0.01             0.00             0.02               2106.00  
0.04            0.00          0.01             0.00             0.05               2106.05  
0.02            0.00          0.01             0.00             0.03               2106.08  
0.01            0.00          0.01             0.00             0.02               2106.10  
0.02            0.00          0.01             0.00             0.03               2106.13  
0.01            0.00          0.01             0.00             0.02               2106.15  
0.02            0.00          0.01             0.00             0.03               2106.18  
0.01            0.00          0.01             0.00             0.02               2106.20  
0.01            0.00          0.01             0.00             0.02               2106.22  
0.02            0.00          0.01             0.00             0.03               2106.25  
0.02            0.00          0.00             0.00             0.02               2106.27  
0.02            0.00          0.00             0.00             0.02               2106.29  
0.02            0.00          0.00             0.00             0.02               2106.31  
0.02            0.00          0.00             0.00             0.02               2106.33  
0.02            0.00          0.00             0.00             0.02               2106.35  
0.02            0.00          0.00             0.00             0.02               2106.37  
0.02            0.00          0.00             0.00             0.02               2106.39  
0.02            0.00          0.00             0.00             0.02               2106.41  
0.02            0.00          0.00             0.00             0.02               2106.43  
0.02            0.00          0.00             0.00             0.02               2106.45  
0.02            0.00          0.00             0.00             0.02               2106.47  
0.02            0.00          0.00             0.00             0.02               2106.49  
0.02            0.00          0.00             0.00             0.02               2106.51  
0.02            0.00          0.00             0.00             0.02               2106.53  
0.02            0.00          0.00             0.00             0.02               2106.55  
0.02            0.00          0.00             0.00             0.02               2106.57  
0.00            0.00          0.00             0.54             0.54               2107.11  
