NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	28.92	25.55	3.37	0.00	0.00
2	4	2	36	39.39	36.23	2.90	0.27	0.00
3	9	3	64	55.00	50.57	4.17	0.25	0.00
4	16	4	100	103.98	96.76	6.90	0.32	0.00
5	25	5	144	141.70	133.10	8.26	0.34	0.00
6	36	6	196	213.07	200.23	12.37	0.46	0.00
7	49	7	256	240.92	223.06	17.31	0.55	0.00
8	64	8	324	361.22	332.30	28.09	0.82	0.00
9	81	9	400	446.07	404.39	40.57	1.10	0.00
10	100	10	484	573.12	514.21	57.47	1.44	0.00
11	121	11	576	740.59	654.86	83.79	1.94	0.00
12	144	12	676	1130.81	1016.02	112.37	2.41	0.00
13	169	13	784	1467.72	1311.45	153.18	3.09	0.00
14	196	14	900	1685.40	1475.69	205.85	3.86	0.00
15	225	15	1024	2048.70	1765.51	278.32	4.87	0.00
