Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             16.45             0.00             16.45              727.78   
0.77            0.25             0.00              0.00             1.02               728.80   
0.24            0.26             0.00              0.00             0.50               729.30   
0.17            0.26             0.00              0.00             0.43               729.73   
0.15            0.24             0.00              0.00             0.39               730.12   
0.14            0.23             0.00              0.00             0.37               730.49   
0.10            0.19             0.00              0.00             0.29               730.78   
0.15            0.18             0.00              0.00             0.33               731.11   
0.13            0.16             0.00              0.00             0.29               731.40   
0.09            0.23             0.00              0.00             0.32               731.72   
0.16            0.21             0.00              0.00             0.37               732.09   
0.11            0.19             0.00              0.00             0.30               732.39   
0.10            0.18             0.00              0.00             0.28               732.67   
0.13            0.08             0.00              0.00             0.21               732.88   
0.10            0.08             0.00              0.00             0.18               733.06   
0.09            0.10             0.00              0.00             0.19               733.25   
0.09            0.02             0.00              0.00             0.11               733.36   
0.00            0.00             0.00              1.02             1.02               734.38   
