Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             9.53              0.00             9.53               201.93   
0.56            0.34             0.00              0.00             0.90               202.83   
0.17            0.25             0.00              0.00             0.42               203.25   
0.16            0.22             0.00              0.00             0.38               203.63   
0.12            0.19             0.00              0.00             0.31               203.94   
0.10            0.18             0.00              0.00             0.28               204.22   
0.08            0.27             0.00              0.00             0.35               204.57   
0.14            0.16             0.00              0.00             0.30               204.87   
0.12            0.37             0.00              0.00             0.49               205.36   
0.10            0.19             0.00              0.00             0.29               205.65   
0.08            0.16             0.00              0.00             0.24               205.89   
0.11            0.16             0.00              0.00             0.27               206.16   
0.08            0.15             0.00              0.00             0.23               206.39   
0.08            0.18             0.00              0.00             0.26               206.65   
0.11            0.16             0.00              0.00             0.27               206.92   
0.10            0.16             0.00              0.00             0.26               207.18   
0.08            0.12             0.00              0.00             0.20               207.38   
0.10            0.11             0.00              0.00             0.21               207.59   
0.08            0.16             0.00              0.00             0.24               207.83   
0.08            0.16             0.00              0.00             0.24               208.07   
0.07            0.12             0.00              0.00             0.19               208.26   
0.07            0.10             0.00              0.00             0.17               208.43   
0.10            0.08             0.00              0.00             0.18               208.61   
0.07            0.08             0.00              0.00             0.15               208.76   
0.00            0.00             0.00              0.76             0.76               209.52   
