Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             40.32             0.00             40.32              514.24   
0.54            0.47             0.00              0.00             1.01               515.25   
0.29            0.35             0.00              0.00             0.64               515.89   
0.20            0.31             0.00              0.00             0.51               516.40   
0.17            0.31             0.00              0.00             0.48               516.88   
0.12            0.24             0.00              0.00             0.36               517.24   
0.10            0.23             0.00              0.00             0.33               517.57   
0.09            0.26             0.00              0.00             0.35               517.92   
0.07            0.24             0.00              0.00             0.31               518.23   
0.14            0.20             0.00              0.00             0.34               518.57   
0.11            0.21             0.00              0.00             0.32               518.89   
0.11            0.24             0.00              0.00             0.35               519.24   
0.09            0.30             0.00              0.00             0.39               519.63   
0.06            0.22             0.00              0.00             0.28               519.91   
0.11            0.21             0.00              0.00             0.32               520.23   
0.10            0.18             0.00              0.00             0.28               520.51   
0.06            0.17             0.00              0.00             0.23               520.74   
0.07            0.17             0.00              0.00             0.24               520.98   
0.06            0.16             0.00              0.00             0.22               521.20   
0.05            0.15             0.00              0.00             0.20               521.40   
0.05            0.14             0.00              0.00             0.19               521.59   
0.05            0.19             0.00              0.00             0.24               521.83   
0.10            0.11             0.00              0.00             0.21               522.04   
0.04            0.11             0.00              0.00             0.15               522.19   
0.04            0.12             0.00              0.00             0.16               522.35   
0.07            0.14             0.00              0.00             0.21               522.56   
0.05            0.13             0.00              0.00             0.18               522.74   
0.07            0.15             0.00              0.00             0.22               522.96   
0.05            0.15             0.00              0.00             0.20               523.16   
0.06            0.10             0.00              0.00             0.16               523.32   
0.04            0.10             0.00              0.00             0.14               523.46   
0.04            0.10             0.00              0.00             0.14               523.60   
0.04            0.11             0.00              0.00             0.15               523.75   
0.05            0.04             0.00              0.00             0.09               523.84   
0.04            0.04             0.00              0.00             0.08               523.92   
0.11            0.04             0.00              0.00             0.15               524.07   
0.12            0.24             0.00              0.00             0.36               524.43   
0.00            0.00             0.00              0.54             0.54               524.97   
