Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             26.97             0.00             26.97              366.80   
0.45            0.39             0.00              0.00             0.84               367.64   
0.22            0.23             0.00              0.00             0.45               368.09   
0.14            0.27             0.00              0.00             0.41               368.50   
0.15            0.26             0.00              0.00             0.41               368.91   
0.14            0.20             0.00              0.00             0.34               369.25   
0.08            0.19             0.00              0.00             0.27               369.52   
0.08            0.18             0.00              0.00             0.26               369.78   
0.06            0.19             0.00              0.00             0.25               370.03   
0.11            0.18             0.00              0.00             0.29               370.32   
0.09            0.11             0.00              0.00             0.20               370.52   
0.05            0.13             0.00              0.00             0.18               370.70   
0.05            0.17             0.00              0.00             0.22               370.92   
0.13            0.17             0.00              0.00             0.30               371.22   
0.08            0.20             0.00              0.00             0.28               371.50   
0.08            0.15             0.00              0.00             0.23               371.73   
0.06            0.16             0.00              0.00             0.22               371.95   
0.07            0.15             0.00              0.00             0.22               372.17   
0.08            0.16             0.00              0.00             0.24               372.41   
0.06            0.30             0.00              0.00             0.36               372.77   
0.06            0.11             0.00              0.00             0.17               372.94   
0.05            0.09             0.00              0.00             0.14               373.08   
0.07            0.09             0.00              0.00             0.16               373.24   
0.07            0.11             0.00              0.00             0.18               373.42   
0.04            0.08             0.00              0.00             0.12               373.54   
0.04            0.08             0.00              0.00             0.12               373.66   
0.04            0.09             0.00              0.00             0.13               373.79   
0.06            0.09             0.00              0.00             0.15               373.94   
0.06            0.11             0.00              0.00             0.17               374.11   
0.04            0.12             0.00              0.00             0.16               374.27   
0.05            0.11             0.00              0.00             0.16               374.43   
0.05            0.08             0.00              0.00             0.13               374.56   
0.05            0.08             0.00              0.00             0.13               374.69   
0.05            0.04             0.00              0.00             0.09               374.78   
0.04            0.04             0.00              0.00             0.08               374.86   
0.08            0.04             0.00              0.00             0.12               374.98   
0.09            0.03             0.00              0.00             0.12               375.10   
0.00            0.00             0.00              0.43             0.43               375.53   
