Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             8.84              0.00             8.84               118.41   
0.34            0.17             0.00              0.00             0.51               118.92   
0.12            0.15             0.00              0.00             0.27               119.19   
0.09            0.12             0.00              0.00             0.21               119.40   
0.07            0.12             0.00              0.00             0.19               119.59   
0.06            0.10             0.00              0.00             0.16               119.75   
0.06            0.09             0.00              0.00             0.15               119.90   
0.09            0.10             0.00              0.00             0.19               120.09   
0.11            0.08             0.00              0.00             0.19               120.28   
0.05            0.09             0.00              0.00             0.14               120.42   
0.06            0.08             0.00              0.00             0.14               120.56   
0.05            0.08             0.00              0.00             0.13               120.69   
0.05            0.05             0.00              0.00             0.10               120.79   
0.05            0.03             0.00              0.00             0.08               120.87   
0.03            0.03             0.00              0.00             0.06               120.93   
0.03            0.03             0.00              0.00             0.06               120.99   
0.04            0.01             0.00              0.00             0.05               121.04   
0.00            0.00             0.00              0.27             0.27               121.31   
