Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             6.59              0.00             6.59               93.64    
0.30            0.13             0.00              0.00             0.43               94.07    
0.11            0.15             0.00              0.00             0.26               94.33    
0.08            0.12             0.00              0.00             0.20               94.53    
0.07            0.11             0.00              0.00             0.18               94.71    
0.06            0.13             0.00              0.00             0.19               94.90    
0.06            0.09             0.00              0.00             0.15               95.05    
0.07            0.10             0.00              0.00             0.17               95.22    
0.07            0.08             0.00              0.00             0.15               95.37    
0.05            0.12             0.00              0.00             0.17               95.54    
0.06            0.08             0.00              0.00             0.14               95.68    
0.05            0.09             0.00              0.00             0.14               95.82    
0.05            0.06             0.00              0.00             0.11               95.93    
0.05            0.04             0.00              0.00             0.09               96.02    
0.04            0.03             0.00              0.00             0.07               96.09    
0.04            0.06             0.00              0.00             0.10               96.19    
0.04            0.01             0.00              0.00             0.05               96.24    
0.00            0.00             0.00              0.22             0.22               96.46    
