Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             25.74             0.00             25.74              334.31   
0.39            0.36             0.00              0.00             0.75               335.06   
0.19            0.22             0.00              0.00             0.41               335.47   
0.14            0.25             0.00              0.00             0.39               335.86   
0.14            0.24             0.00              0.00             0.38               336.24   
0.12            0.18             0.00              0.00             0.30               336.54   
0.08            0.18             0.00              0.00             0.26               336.80   
0.08            0.13             0.00              0.00             0.21               337.01   
0.05            0.17             0.00              0.00             0.22               337.23   
0.12            0.18             0.00              0.00             0.30               337.53   
0.09            0.11             0.00              0.00             0.20               337.73   
0.04            0.11             0.00              0.00             0.15               337.88   
0.06            0.10             0.00              0.00             0.16               338.04   
0.21            0.18             0.00              0.00             0.39               338.43   
0.08            0.19             0.00              0.00             0.27               338.70   
0.08            0.14             0.00              0.00             0.22               338.92   
0.05            0.15             0.00              0.00             0.20               339.12   
0.07            0.10             0.00              0.00             0.17               339.29   
0.08            0.14             0.00              0.00             0.22               339.51   
0.07            0.08             0.00              0.00             0.15               339.66   
0.05            0.07             0.00              0.00             0.12               339.78   
0.04            0.09             0.00              0.00             0.13               339.91   
0.06            0.09             0.00              0.00             0.15               340.06   
0.06            0.10             0.00              0.00             0.16               340.22   
0.04            0.04             0.00              0.00             0.08               340.30   
0.04            0.04             0.00              0.00             0.08               340.38   
0.04            0.04             0.00              0.00             0.08               340.46   
0.06            0.04             0.00              0.00             0.10               340.56   
0.06            0.07             0.00              0.00             0.13               340.69   
0.04            0.06             0.00              0.00             0.10               340.79   
0.04            0.12             0.00              0.00             0.16               340.95   
0.07            0.04             0.00              0.00             0.11               341.06   
0.04            0.04             0.00              0.00             0.08               341.14   
0.04            0.04             0.00              0.00             0.08               341.22   
0.04            0.04             0.00              0.00             0.08               341.30   
0.07            0.01             0.00              0.00             0.08               341.38   
0.02            0.01             0.00              0.00             0.03               341.41   
0.00            0.00             0.00              0.19             0.19               341.60   
