Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             18.21             0.00             18.21              303.68   
0.34            0.50             0.00              0.00             0.84               304.52   
0.27            0.47             0.00              0.00             0.74               305.26   
0.26            0.35             0.00              0.00             0.61               305.87   
0.19            0.33             0.00              0.00             0.52               306.39   
0.16            0.24             0.00              0.00             0.40               306.79   
0.08            0.28             0.00              0.00             0.36               307.15   
0.09            0.39             0.00              0.00             0.48               307.63   
0.22            0.35             0.00              0.00             0.57               308.20   
0.19            0.28             0.00              0.00             0.47               308.67   
0.12            0.34             0.00              0.00             0.46               309.13   
0.13            0.24             0.00              0.00             0.37               309.50   
0.08            0.24             0.00              0.00             0.32               309.82   
0.11            0.22             0.00              0.00             0.33               310.15   
0.12            0.26             0.00              0.00             0.38               310.53   
0.08            0.21             0.00              0.00             0.29               310.82   
0.07            0.19             0.00              0.00             0.26               311.08   
0.07            0.31             0.00              0.00             0.38               311.46   
0.17            0.24             0.00              0.00             0.41               311.87   
0.10            0.25             0.00              0.00             0.35               312.22   
0.13            0.21             0.00              0.00             0.34               312.56   
0.07            0.20             0.00              0.00             0.27               312.83   
0.10            0.21             0.00              0.00             0.31               313.14   
0.10            0.21             0.00              0.00             0.31               313.45   
0.08            0.20             0.00              0.00             0.28               313.73   
0.07            0.20             0.00              0.00             0.27               314.00   
0.09            0.13             0.00              0.00             0.22               314.22   
0.06            0.14             0.00              0.00             0.20               314.42   
0.06            0.15             0.00              0.00             0.21               314.63   
0.06            0.15             0.00              0.00             0.21               314.84   
0.11            0.18             0.00              0.00             0.29               315.13   
0.39            0.13             0.00              0.00             0.52               315.65   
0.06            0.18             0.00              0.00             0.24               315.89   
0.06            0.07             0.00              0.00             0.13               316.02   
0.05            0.07             0.00              0.00             0.12               316.14   
0.05            0.07             0.00              0.00             0.12               316.26   
0.00            0.00             0.00              0.24             0.24               316.50   
