Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             20.45             0.00             20.45              275.30   
0.24            0.21             0.00              0.00             0.45               275.75   
0.10            0.13             0.00              0.00             0.23               275.98   
0.07            0.15             0.00              0.00             0.22               276.20   
0.07            0.14             0.00              0.00             0.21               276.41   
0.07            0.11             0.00              0.00             0.18               276.59   
0.04            0.11             0.00              0.00             0.15               276.74   
0.04            0.07             0.00              0.00             0.11               276.85   
0.03            0.10             0.00              0.00             0.13               276.98   
0.06            0.10             0.00              0.00             0.16               277.14   
0.05            0.06             0.00              0.00             0.11               277.25   
0.02            0.06             0.00              0.00             0.08               277.33   
0.02            0.06             0.00              0.00             0.08               277.41   
0.06            0.10             0.00              0.00             0.16               277.57   
0.04            0.10             0.00              0.00             0.14               277.71   
0.04            0.08             0.00              0.00             0.12               277.83   
0.03            0.08             0.00              0.00             0.11               277.94   
0.04            0.06             0.00              0.00             0.10               278.04   
0.04            0.08             0.00              0.00             0.12               278.16   
0.03            0.04             0.00              0.00             0.07               278.23   
0.02            0.03             0.00              0.00             0.05               278.28   
0.02            0.05             0.00              0.00             0.07               278.35   
0.03            0.05             0.00              0.00             0.08               278.43   
0.03            0.06             0.00              0.00             0.09               278.52   
0.02            0.02             0.00              0.00             0.04               278.56   
0.02            0.02             0.00              0.00             0.04               278.60   
0.02            0.02             0.00              0.00             0.04               278.64   
0.03            0.02             0.00              0.00             0.05               278.69   
0.03            0.03             0.00              0.00             0.06               278.75   
0.02            0.06             0.00              0.00             0.08               278.83   
0.02            0.06             0.00              0.00             0.08               278.91   
0.02            0.02             0.00              0.00             0.04               278.95   
0.02            0.02             0.00              0.00             0.04               278.99   
0.02            0.02             0.00              0.00             0.04               279.03   
0.02            0.02             0.00              0.00             0.04               279.07   
0.04            0.00             0.00              0.00             0.04               279.11   
0.02            0.00             0.00              0.00             0.02               279.13   
0.00            0.00             0.00              0.15             0.15               279.28   
