NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	1	1	16	22.48	16.89	5.59	0.00	0.00
2	1	1	23	16.85	9.78	7.07	0.00	0.00
2	2	2	35	26.68	19.91	6.77	0.00	0.00
2	4	4	36	50.81	40.52	10.29	0.00	0.00
2	4	4	36	35.40	27.09	8.32	0.00	0.00
2	0	0	16	11.56	8.97	2.59	0.00	0.00
2	0	0	16	9.21	6.66	2.56	0.00	0.00
2	1	1	23	10.73	6.37	4.36	0.00	0.00
2	2	2	36	32.87	25.82	7.05	0.00	0.00
2	2	2	35	30.88	18.26	12.62	0.00	0.00
2	1	1	36	23.12	16.72	6.40	0.00	0.00
2	2	2	36	24.37	20.51	3.86	0.00	0.00
