Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             77.19             0.00             77.19              1381.05  
0.68            0.84             0.00              0.00             1.52               1382.57  
0.29            0.42             0.00              0.00             0.71               1383.28  
0.19            0.60             0.00              0.00             0.79               1384.07  
0.22            0.43             0.00              0.00             0.65               1384.72  
0.14            0.37             0.00              0.00             0.51               1385.23  
0.14            0.39             0.00              0.00             0.53               1385.76  
0.12            0.58             0.00              0.00             0.70               1386.46  
0.15            0.35             0.00              0.00             0.50               1386.96  
0.10            0.34             0.00              0.00             0.44               1387.40  
0.10            0.36             0.00              0.00             0.46               1387.86  
0.05            0.35             0.00              0.00             0.40               1388.26  
0.06            0.20             0.00              0.00             0.26               1388.52  
0.09            0.34             0.00              0.00             0.43               1388.95  
0.14            0.20             0.00              0.00             0.34               1389.29  
0.08            0.16             0.00              0.00             0.24               1389.53  
0.06            0.18             0.00              0.00             0.24               1389.77  
0.06            0.26             0.00              0.00             0.32               1390.09  
0.04            0.37             0.00              0.00             0.41               1390.50  
0.15            0.34             0.00              0.00             0.49               1390.99  
0.13            0.32             0.00              0.00             0.45               1391.44  
0.12            0.53             0.00              0.00             0.65               1392.09  
0.15            0.31             0.00              0.00             0.46               1392.55  
0.10            0.34             0.00              0.00             0.44               1392.99  
0.08            0.36             0.00              0.00             0.44               1393.43  
0.08            0.26             0.00              0.00             0.34               1393.77  
0.05            0.19             0.00              0.00             0.24               1394.01  
0.07            0.35             0.00              0.00             0.42               1394.43  
0.10            0.15             0.00              0.00             0.25               1394.68  
0.04            0.17             0.00              0.00             0.21               1394.89  
0.05            0.19             0.00              0.00             0.24               1395.13  
0.07            0.29             0.00              0.00             0.36               1395.49  
0.09            0.18             0.00              0.00             0.27               1395.76  
0.04            0.16             0.00              0.00             0.20               1395.96  
0.06            0.33             0.00              0.00             0.39               1396.35  
0.10            0.16             0.00              0.00             0.26               1396.61  
0.04            0.14             0.00              0.00             0.18               1396.79  
0.04            0.32             0.00              0.00             0.36               1397.15  
0.14            0.28             0.00              0.00             0.42               1397.57  
0.08            0.31             0.00              0.00             0.39               1397.96  
0.07            0.34             0.00              0.00             0.41               1398.37  
0.05            0.18             0.00              0.00             0.23               1398.60  
0.05            0.17             0.00              0.00             0.22               1398.82  
0.04            0.15             0.00              0.00             0.19               1399.01  
0.03            0.16             0.00              0.00             0.19               1399.20  
0.05            0.15             0.00              0.00             0.20               1399.40  
0.06            0.12             0.00              0.00             0.18               1399.58  
0.03            0.29             0.00              0.00             0.32               1399.90  
0.12            0.13             0.00              0.00             0.25               1400.15  
0.06            0.13             0.00              0.00             0.19               1400.34  
0.03            0.11             0.00              0.00             0.14               1400.48  
0.03            0.12             0.00              0.00             0.15               1400.63  
0.03            0.11             0.00              0.00             0.14               1400.77  
0.03            0.13             0.00              0.00             0.16               1400.93  
0.03            0.14             0.00              0.00             0.17               1401.10  
0.06            0.31             0.00              0.00             0.37               1401.47  
0.09            0.14             0.00              0.00             0.23               1401.70  
0.03            0.13             0.00              0.00             0.16               1401.86  
0.03            0.32             0.00              0.00             0.35               1402.21  
0.14            0.12             0.00              0.00             0.26               1402.47  
0.03            0.11             0.00              0.00             0.14               1402.61  
0.03            0.11             0.00              0.00             0.14               1402.75  
0.03            0.15             0.00              0.00             0.18               1402.93  
0.06            0.20             0.00              0.00             0.26               1403.19  
0.10            0.25             0.00              0.00             0.35               1403.54  
0.06            0.34             0.00              0.00             0.40               1403.94  
0.10            0.28             0.00              0.00             0.38               1404.32  
0.08            0.26             0.00              0.00             0.34               1404.66  
0.07            0.25             0.00              0.00             0.32               1404.98  
0.04            0.14             0.00              0.00             0.18               1405.16  
0.04            0.12             0.00              0.00             0.16               1405.32  
0.03            0.12             0.00              0.00             0.15               1405.47  
0.04            0.12             0.00              0.00             0.16               1405.63  
0.05            0.13             0.00              0.00             0.18               1405.81  
0.03            0.11             0.00              0.00             0.14               1405.95  
0.03            0.14             0.00              0.00             0.17               1406.12  
0.06            0.13             0.00              0.00             0.19               1406.31  
0.03            0.12             0.00              0.00             0.15               1406.46  
0.03            0.13             0.00              0.00             0.16               1406.62  
0.04            0.12             0.00              0.00             0.16               1406.78  
0.03            0.10             0.00              0.00             0.13               1406.91  
0.03            0.11             0.00              0.00             0.14               1407.05  
0.03            0.12             0.00              0.00             0.15               1407.20  
0.03            0.12             0.00              0.00             0.15               1407.35  
0.04            0.13             0.00              0.00             0.17               1407.52  
0.04            0.05             0.00              0.00             0.09               1407.61  
0.03            0.04             0.00              0.00             0.07               1407.68  
0.08            0.04             0.00              0.00             0.12               1407.80  
0.13            0.04             0.00              0.00             0.17               1407.97  
0.15            0.04             0.00              0.00             0.19               1408.16  
0.14            0.04             0.00              0.00             0.18               1408.34  
0.15            0.04             0.00              0.00             0.19               1408.53  
0.17            0.04             0.00              0.00             0.21               1408.74  
0.18            0.04             0.00              0.00             0.22               1408.96  
0.22            0.04             0.00              0.00             0.26               1409.22  
0.21            0.06             0.00              0.00             0.27               1409.49  
0.25            0.05             0.00              0.00             0.30               1409.79  
0.25            0.10             0.00              0.00             0.35               1410.14  
0.28            0.05             0.00              0.00             0.33               1410.47  
0.28            0.05             0.00              0.00             0.33               1410.80  
0.31            0.06             0.00              0.00             0.37               1411.17  
0.00            0.00             0.00              0.68             0.68               1411.85  
