Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             45.54             0.00             45.54              967.92   
1.39            0.63             0.00              0.00             2.02               969.94   
0.48            1.01             0.00              0.00             1.49               971.43   
0.54            0.85             0.00              0.00             1.39               972.82   
0.45            0.85             0.00              0.00             1.30               974.12   
0.32            1.44             0.00              0.00             1.76               975.88   
0.18            0.52             0.00              0.00             0.70               976.58   
0.31            0.48             0.00              0.00             0.79               977.37   
0.24            0.42             0.00              0.00             0.66               978.03   
0.16            0.92             0.00              0.00             1.08               979.11   
0.23            0.59             0.00              0.00             0.82               979.93   
0.18            0.65             0.00              0.00             0.83               980.76   
0.16            0.32             0.00              0.00             0.48               981.24   
0.21            0.19             0.00              0.00             0.40               981.64   
0.23            0.17             0.00              0.00             0.40               982.04   
0.15            0.19             0.00              0.00             0.34               982.38   
0.15            0.07             0.00              0.00             0.22               982.60   
0.00            0.00             0.00              3.78             3.78               986.38   
