Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             11.42             0.00             11.42              75.00    
0.88            0.59             0.00              0.00             1.47               76.47    
0.25            0.50             0.00              0.00             0.75               77.22    
0.23            0.35             0.00              0.00             0.58               77.80    
0.18            0.33             0.00              0.00             0.51               78.31    
0.15            0.34             0.00              0.00             0.49               78.80    
0.10            0.34             0.00              0.00             0.44               79.24    
0.19            0.26             0.00              0.00             0.45               79.69    
0.16            0.35             0.00              0.00             0.51               80.20    
0.15            0.34             0.00              0.00             0.49               80.69    
0.10            0.34             0.00              0.00             0.44               81.13    
0.16            0.27             0.00              0.00             0.43               81.56    
0.10            0.27             0.00              0.00             0.37               81.93    
0.10            0.27             0.00              0.00             0.37               82.30    
0.20            0.25             0.00              0.00             0.45               82.75    
0.14            0.17             0.00              0.00             0.31               83.06    
0.10            0.18             0.00              0.00             0.28               83.34    
0.14            0.20             0.00              0.00             0.34               83.68    
0.12            0.21             0.00              0.00             0.33               84.01    
0.17            0.21             0.00              0.00             0.38               84.39    
0.13            0.18             0.00              0.00             0.31               84.70    
0.14            0.16             0.00              0.00             0.30               85.00    
0.13            0.12             0.00              0.00             0.25               85.25    
0.12            0.14             0.00              0.00             0.26               85.51    
0.00            0.00             0.00              3.17             3.17               88.68    
