Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             29.04             0.00             29.04              130.54   
0.86            0.63             0.00              0.00             1.49               132.03   
0.32            0.49             0.00              0.00             0.81               132.84   
0.25            0.29             0.00              0.00             0.54               133.38   
0.26            0.40             0.00              0.00             0.66               134.04   
0.15            0.31             0.00              0.00             0.46               134.50   
0.13            0.33             0.00              0.00             0.46               134.96   
0.10            0.37             0.00              0.00             0.47               135.43   
0.21            0.30             0.00              0.00             0.51               135.94   
0.16            0.30             0.00              0.00             0.46               136.40   
0.16            0.28             0.00              0.00             0.44               136.84   
0.13            0.36             0.00              0.00             0.49               137.33   
0.09            0.24             0.00              0.00             0.33               137.66   
0.13            0.22             0.00              0.00             0.35               138.01   
0.09            0.29             0.00              0.00             0.38               138.39   
0.12            0.24             0.00              0.00             0.36               138.75   
0.09            0.23             0.00              0.00             0.32               139.07   
0.10            0.25             0.00              0.00             0.35               139.42   
0.16            0.30             0.00              0.00             0.46               139.88   
0.21            0.26             0.00              0.00             0.47               140.35   
0.13            0.24             0.00              0.00             0.37               140.72   
0.13            0.25             0.00              0.00             0.38               141.10   
0.24            0.18             0.00              0.00             0.42               141.52   
0.11            0.22             0.00              0.00             0.33               141.85   
0.13            0.20             0.00              0.00             0.33               142.18   
0.11            0.26             0.00              0.00             0.37               142.55   
0.13            0.20             0.00              0.00             0.33               142.88   
0.09            0.21             0.00              0.00             0.30               143.18   
0.09            0.20             0.00              0.00             0.29               143.47   
0.15            0.21             0.00              0.00             0.36               143.83   
0.09            0.19             0.00              0.00             0.28               144.11   
0.20            0.22             0.00              0.00             0.42               144.53   
0.27            0.21             0.00              0.00             0.48               145.01   
0.09            0.16             0.00              0.00             0.25               145.26   
0.09            0.20             0.00              0.00             0.29               145.55   
0.12            0.08             0.00              0.00             0.20               145.75   
0.00            0.00             0.00              5.32             5.32               151.07   
