Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             37.99             0.00             37.99              127.80   
0.54            0.31             0.00              0.00             0.85               128.65   
0.22            0.19             0.00              0.00             0.41               129.06   
0.18            0.20             0.00              0.00             0.38               129.44   
0.11            0.17             0.00              0.00             0.28               129.72   
0.11            0.16             0.00              0.00             0.27               129.99   
0.08            0.14             0.00              0.00             0.22               130.21   
0.09            0.12             0.00              0.00             0.21               130.42   
0.06            0.12             0.00              0.00             0.18               130.60   
0.09            0.12             0.00              0.00             0.21               130.81   
0.10            0.08             0.00              0.00             0.18               130.99   
0.05            0.08             0.00              0.00             0.13               131.12   
0.07            0.13             0.00              0.00             0.20               131.32   
0.10            0.13             0.00              0.00             0.23               131.55   
0.07            0.14             0.00              0.00             0.21               131.76   
0.10            0.11             0.00              0.00             0.21               131.97   
0.06            0.12             0.00              0.00             0.18               132.15   
0.07            0.11             0.00              0.00             0.18               132.33   
0.07            0.12             0.00              0.00             0.19               132.52   
0.06            0.08             0.00              0.00             0.14               132.66   
0.05            0.08             0.00              0.00             0.13               132.79   
0.07            0.07             0.00              0.00             0.14               132.93   
0.06            0.07             0.00              0.00             0.13               133.06   
0.06            0.08             0.00              0.00             0.14               133.20   
0.05            0.06             0.00              0.00             0.11               133.31   
0.05            0.05             0.00              0.00             0.10               133.41   
0.05            0.07             0.00              0.00             0.12               133.53   
0.06            0.06             0.00              0.00             0.12               133.65   
0.06            0.09             0.00              0.00             0.15               133.80   
0.05            0.09             0.00              0.00             0.14               133.94   
0.06            0.08             0.00              0.00             0.14               134.08   
0.05            0.06             0.00              0.00             0.11               134.19   
0.05            0.06             0.00              0.00             0.11               134.30   
0.05            0.03             0.00              0.00             0.08               134.38   
0.04            0.03             0.00              0.00             0.07               134.45   
0.08            0.03             0.00              0.00             0.11               134.56   
0.08            0.03             0.00              0.00             0.11               134.67   
0.00            0.00             0.00              4.21             4.21               138.88   
