Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             13.22             0.00             13.22              44.40    
0.61            0.21             0.00              0.00             0.82               45.22    
0.14            0.26             0.00              0.00             0.40               45.62    
0.11            0.17             0.00              0.00             0.28               45.90    
0.09            0.31             0.00              0.00             0.40               46.30    
0.08            0.16             0.00              0.00             0.24               46.54    
0.07            0.13             0.00              0.00             0.20               46.74    
0.09            0.12             0.00              0.00             0.21               46.95    
0.07            0.10             0.00              0.00             0.17               47.12    
0.05            0.14             0.00              0.00             0.19               47.31    
0.07            0.11             0.00              0.00             0.18               47.49    
0.06            0.12             0.00              0.00             0.18               47.67    
0.07            0.10             0.00              0.00             0.17               47.84    
0.07            0.05             0.00              0.00             0.12               47.96    
0.08            0.04             0.00              0.00             0.12               48.08    
0.05            0.05             0.00              0.00             0.10               48.18    
0.05            0.01             0.00              0.00             0.06               48.24    
0.00            0.00             0.00              0.35             0.35               48.59    
