Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             14.27             0.00             14.27              69.05    
0.59            0.35             0.00              0.00             0.94               69.99    
0.19            0.24             0.00              0.00             0.43               70.42    
0.15            0.19             0.00              0.00             0.34               70.76    
0.11            0.22             0.00              0.00             0.33               71.09    
0.14            0.25             0.00              0.00             0.39               71.48    
0.10            0.37             0.00              0.00             0.47               71.95    
0.18            0.27             0.00              0.00             0.45               72.40    
0.16            0.29             0.00              0.00             0.45               72.85    
0.13            0.26             0.00              0.00             0.39               73.24    
0.10            0.23             0.00              0.00             0.33               73.57    
0.12            0.28             0.00              0.00             0.40               73.97    
0.10            0.22             0.00              0.00             0.32               74.29    
0.10            0.25             0.00              0.00             0.35               74.64    
0.16            0.22             0.00              0.00             0.38               75.02    
0.13            0.18             0.00              0.00             0.31               75.33    
0.09            0.17             0.00              0.00             0.26               75.59    
0.17            0.13             0.00              0.00             0.30               75.89    
0.07            0.14             0.00              0.00             0.21               76.10    
0.07            0.10             0.00              0.00             0.17               76.27    
0.06            0.19             0.00              0.00             0.25               76.52    
0.06            0.08             0.00              0.00             0.14               76.66    
0.08            0.09             0.00              0.00             0.17               76.83    
0.06            0.05             0.00              0.00             0.11               76.94    
0.00            0.00             0.00              3.03             3.03               79.97    
