Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             44.29             0.00             44.29              177.68   
0.60            0.43             0.00              0.00             1.03               178.71   
0.25            0.24             0.00              0.00             0.49               179.20   
0.17            0.32             0.00              0.00             0.49               179.69   
0.17            0.27             0.00              0.00             0.44               180.13   
0.14            0.20             0.00              0.00             0.34               180.47   
0.09            0.21             0.00              0.00             0.30               180.77   
0.09            0.16             0.00              0.00             0.25               181.02   
0.07            0.19             0.00              0.00             0.26               181.28   
0.13            0.21             0.00              0.00             0.34               181.62   
0.12            0.13             0.00              0.00             0.25               181.87   
0.06            0.12             0.00              0.00             0.18               182.05   
0.06            0.12             0.00              0.00             0.18               182.23   
0.15            0.20             0.00              0.00             0.35               182.58   
0.09            0.23             0.00              0.00             0.32               182.90   
0.09            0.16             0.00              0.00             0.25               183.15   
0.06            0.17             0.00              0.00             0.23               183.38   
0.08            0.12             0.00              0.00             0.20               183.58   
0.11            0.17             0.00              0.00             0.28               183.86   
0.10            0.09             0.00              0.00             0.19               184.05   
0.07            0.08             0.00              0.00             0.15               184.20   
0.05            0.10             0.00              0.00             0.15               184.35   
0.07            0.10             0.00              0.00             0.17               184.52   
0.07            0.12             0.00              0.00             0.19               184.71   
0.05            0.05             0.00              0.00             0.10               184.81   
0.04            0.05             0.00              0.00             0.09               184.90   
0.04            0.04             0.00              0.00             0.08               184.98   
0.06            0.05             0.00              0.00             0.11               185.09   
0.06            0.07             0.00              0.00             0.13               185.22   
0.05            0.07             0.00              0.00             0.12               185.34   
0.05            0.13             0.00              0.00             0.18               185.52   
0.05            0.05             0.00              0.00             0.10               185.62   
0.04            0.04             0.00              0.00             0.08               185.70   
0.05            0.05             0.00              0.00             0.10               185.80   
0.04            0.04             0.00              0.00             0.08               185.88   
0.08            0.01             0.00              0.00             0.09               185.97   
0.03            0.01             0.00              0.00             0.04               186.01   
0.00            0.00             0.00              3.06             3.06               189.07   
