Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             25.57             0.00             25.57              110.33   
0.48            0.33             0.00              0.00             0.81               111.14   
0.14            0.26             0.00              0.00             0.40               111.54   
0.13            0.25             0.00              0.00             0.38               111.92   
0.10            0.16             0.00              0.00             0.26               112.18   
0.08            0.12             0.00              0.00             0.20               112.38   
0.05            0.12             0.00              0.00             0.17               112.55   
0.06            0.17             0.00              0.00             0.23               112.78   
0.10            0.16             0.00              0.00             0.26               113.04   
0.08            0.12             0.00              0.00             0.20               113.24   
0.06            0.14             0.00              0.00             0.20               113.44   
0.07            0.14             0.00              0.00             0.21               113.65   
0.05            0.11             0.00              0.00             0.16               113.81   
0.06            0.10             0.00              0.00             0.16               113.97   
0.07            0.12             0.00              0.00             0.19               114.16   
0.05            0.10             0.00              0.00             0.15               114.31   
0.04            0.16             0.00              0.00             0.20               114.51   
0.06            0.17             0.00              0.00             0.23               114.74   
0.10            0.10             0.00              0.00             0.20               114.94   
0.06            0.12             0.00              0.00             0.18               115.12   
0.06            0.10             0.00              0.00             0.16               115.28   
0.05            0.09             0.00              0.00             0.14               115.42   
0.06            0.10             0.00              0.00             0.16               115.58   
0.06            0.11             0.00              0.00             0.17               115.75   
0.05            0.09             0.00              0.00             0.14               115.89   
0.04            0.10             0.00              0.00             0.14               116.03   
0.05            0.09             0.00              0.00             0.14               116.17   
0.04            0.07             0.00              0.00             0.11               116.28   
0.04            0.08             0.00              0.00             0.12               116.40   
0.04            0.09             0.00              0.00             0.13               116.53   
0.08            0.09             0.00              0.00             0.17               116.70   
0.07            0.06             0.00              0.00             0.13               116.83   
0.04            0.06             0.00              0.00             0.10               116.93   
0.04            0.04             0.00              0.00             0.08               117.01   
0.03            0.03             0.00              0.00             0.06               117.07   
0.04            0.04             0.00              0.00             0.08               117.15   
0.00            0.00             0.00              3.29             3.29               120.44   
