Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             28.38             0.00             28.38              106.82   
0.32            0.25             0.00              0.00             0.57               107.39   
0.12            0.15             0.00              0.00             0.27               107.66   
0.09            0.16             0.00              0.00             0.25               107.91   
0.08            0.15             0.00              0.00             0.23               108.14   
0.10            0.11             0.00              0.00             0.21               108.35   
0.05            0.11             0.00              0.00             0.16               108.51   
0.05            0.07             0.00              0.00             0.12               108.63   
0.04            0.10             0.00              0.00             0.14               108.77   
0.07            0.10             0.00              0.00             0.17               108.94   
0.13            0.12             0.00              0.00             0.25               109.19   
0.05            0.13             0.00              0.00             0.18               109.37   
0.07            0.13             0.00              0.00             0.20               109.57   
0.12            0.19             0.00              0.00             0.31               109.88   
0.08            0.22             0.00              0.00             0.30               110.18   
0.08            0.15             0.00              0.00             0.23               110.41   
0.06            0.16             0.00              0.00             0.22               110.63   
0.08            0.11             0.00              0.00             0.19               110.82   
0.07            0.13             0.00              0.00             0.20               111.02   
0.04            0.04             0.00              0.00             0.08               111.10   
0.04            0.04             0.00              0.00             0.08               111.18   
0.03            0.06             0.00              0.00             0.09               111.27   
0.05            0.06             0.00              0.00             0.11               111.38   
0.04            0.07             0.00              0.00             0.11               111.49   
0.03            0.02             0.00              0.00             0.05               111.54   
0.03            0.02             0.00              0.00             0.05               111.59   
0.03            0.02             0.00              0.00             0.05               111.64   
0.04            0.02             0.00              0.00             0.06               111.70   
0.04            0.04             0.00              0.00             0.08               111.78   
0.03            0.07             0.00              0.00             0.10               111.88   
0.03            0.07             0.00              0.00             0.10               111.98   
0.04            0.02             0.00              0.00             0.06               112.04   
0.03            0.03             0.00              0.00             0.06               112.10   
0.03            0.03             0.00              0.00             0.06               112.16   
0.03            0.02             0.00              0.00             0.05               112.21   
0.05            0.01             0.00              0.00             0.06               112.27   
0.02            0.00             0.00              0.00             0.02               112.29   
0.00            0.00             0.00              2.40             2.40               114.69   
