NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	1	1	16	63.71	46.51	14.60	1.03	1.58
2	1	1	23	24.97	11.86	10.67	0.96	1.48
2	2	2	35	49.38	29.47	15.48	2.78	1.64
2	4	2	36	75.14	58.62	10.12	4.82	1.58
2	4	2	36	48.96	38.23	7.17	1.96	1.60
2	0	0	16	17.22	13.53	3.69	0.00	0.00
2	0	0	16	13.65	10.09	3.56	0.00	0.00
2	1	1	23	24.95	14.52	7.88	0.64	1.91
2	2	1	36	55.48	44.57	8.28	0.87	1.76
2	2	1	35	35.45	25.81	6.79	1.08	1.77
2	1	1	36	33.08	24.85	6.29	0.41	1.53
2	2	1	36	36.10	28.47	5.49	0.64	1.51
