Encoding        Operation        Labels        Reduction        SingleRound        AllRounds  
0.00            0.00             1568.68           0.00             1568.68            12273583.85
9.50            18.58            0.00              0.00             28.08              12273611.93
6.66            8.70             0.00              0.00             15.36              12273627.29
3.85            9.09             0.00              0.00             12.94              12273640.23
3.51            8.82             0.00              0.00             12.33              12273652.56
3.50            10.06            0.00              0.00             13.56              12273666.12
3.26            9.63             0.00              0.00             12.89              12273679.01
3.33            8.06             0.00              0.00             11.39              12273690.40
3.03            9.45             0.00              0.00             12.48              12273702.88
3.09            7.94             0.00              0.00             11.03              12273713.91
2.83            9.69             0.00              0.00             12.52              12273726.43
2.88            7.50             0.00              0.00             10.38              12273736.81
2.56            8.17             0.00              0.00             10.73              12273747.54
2.82            6.45             0.00              0.00             9.27               12273756.81
2.56            7.38             0.00              0.00             9.94               12273766.75
2.11            7.02             0.00              0.00             9.13               12273775.88
2.16            7.44             0.00              0.00             9.60               12273785.48
2.15            6.95             0.00              0.00             9.10               12273794.58
2.19            7.24             0.00              0.00             9.43               12273804.01
1.69            6.87             0.00              0.00             8.56               12273812.57
1.76            6.95             0.00              0.00             8.71               12273821.28
1.68            12.36            0.00              0.00             14.04              12273835.32
2.33            8.47             0.00              0.00             10.80              12273846.12
1.27            12.14            0.00              0.00             13.41              12273859.53
1.92            5.27             0.00              0.00             7.19               12273866.72
1.07            6.62             0.00              0.00             7.69               12273874.41
1.04            6.19             0.00              0.00             7.23               12273881.64
0.58            6.10             0.00              0.00             6.68               12273888.32
0.58            7.87             0.00              0.00             8.45               12273896.77
0.56            6.02             0.00              0.00             6.58               12273903.35
0.33            5.74             0.00              0.00             6.07               12273909.42
0.35            6.01             0.00              0.00             6.36               12273915.78
0.09            2.56             0.00              0.00             2.65               12273918.43
0.56            2.14             0.00              0.00             2.70               12273921.13
0.54            2.57             0.00              0.00             3.11               12273924.24
0.54            2.03             0.00              0.00             2.57               12273926.81
0.53            7.47             0.00              0.00             8.00               12273934.81
2.62            2.06             0.00              0.00             4.68               12273939.49
0.29            6.97             0.00              0.00             7.26               12273946.75
2.14            1.52             0.00              0.00             3.66               12273950.41
0.04            2.16             0.00              0.00             2.20               12273952.61
0.05            2.17             0.00              0.00             2.22               12273954.83
0.04            1.95             0.00              0.00             1.99               12273956.82
0.04            2.06             0.00              0.00             2.10               12273958.92
0.05            2.25             0.00              0.00             2.30               12273961.22
0.04            2.42             0.00              0.00             2.46               12273963.68
0.04            2.10             0.00              0.00             2.14               12273965.82
0.04            2.00             0.00              0.00             2.04               12273967.86
0.06            2.63             0.00              0.00             2.69               12273970.55
