Encoding        Operation        Labels        Reduction        SingleRound        AllRounds 
0.00            0.00             1964.03           0.00             1964.03            9768961.66
11.53           22.70            0.00              0.00             34.23              9768995.89
8.72            11.21            0.00              0.00             19.93              9769015.82
4.58            11.36            0.00              0.00             15.94              9769031.76
4.43            11.04            0.00              0.00             15.47              9769047.23
4.39            12.14            0.00              0.00             16.53              9769063.76
4.15            12.04            0.00              0.00             16.19              9769079.95
4.10            10.33            0.00              0.00             14.43              9769094.38
3.93            12.62            0.00              0.00             16.55              9769110.93
3.88            10.02            0.00              0.00             13.90              9769124.83
3.51            11.38            0.00              0.00             14.89              9769139.72
3.64            9.55             0.00              0.00             13.19              9769152.91
3.25            10.79            0.00              0.00             14.04              9769166.95
3.30            9.52             0.00              0.00             12.82              9769179.77
3.26            9.26             0.00              0.00             12.52              9769192.29
2.77            8.93             0.00              0.00             11.70              9769203.99
2.70            8.74             0.00              0.00             11.44              9769215.43
2.71            7.47             0.00              0.00             10.18              9769225.61
2.74            9.47             0.00              0.00             12.21              9769237.82
2.73            8.31             0.00              0.00             11.04              9769248.86
2.02            8.70             0.00              0.00             10.72              9769259.58
2.03            8.58             0.00              0.00             10.61              9769270.19
2.06            8.69             0.00              0.00             10.75              9769280.94
1.98            15.30            0.00              0.00             17.28              9769298.22
2.75            10.22            0.00              0.00             12.97              9769311.19
1.50            15.14            0.00              0.00             16.64              9769327.83
2.27            6.66             0.00              0.00             8.93               9769336.76
1.17            8.98             0.00              0.00             10.15              9769346.91
1.20            7.69             0.00              0.00             8.89               9769355.80
0.65            7.46             0.00              0.00             8.11               9769363.91
0.66            9.25             0.00              0.00             9.91               9769373.82
0.68            7.39             0.00              0.00             8.07               9769381.89
0.37            7.17             0.00              0.00             7.54               9769389.43
0.38            8.55             0.00              0.00             8.93               9769398.36
0.07            3.34             0.00              0.00             3.41               9769401.77
0.62            2.70             0.00              0.00             3.32               9769405.09
0.62            3.29             0.00              0.00             3.91               9769409.00
0.60            2.92             0.00              0.00             3.52               9769412.52
0.61            9.35             0.00              0.00             9.96               9769422.48
3.35            2.62             0.00              0.00             5.97               9769428.45
0.33            9.14             0.00              0.00             9.47               9769437.92
2.81            2.03             0.00              0.00             4.84               9769442.76
0.04            2.80             0.00              0.00             2.84               9769445.60
0.04            2.73             0.00              0.00             2.77               9769448.37
0.04            2.67             0.00              0.00             2.71               9769451.08
0.04            2.07             0.00              0.00             2.11               9769453.19
0.04            2.58             0.00              0.00             2.62               9769455.81
0.04            2.81             0.00              0.00             2.85               9769458.66
0.04            2.70             0.00              0.00             2.74               9769461.40
0.04            2.64             0.00              0.00             2.68               9769464.08
0.04            2.72             0.00              0.00             2.76               9769466.84
0.04            2.98             0.00              0.00             3.02               9769469.86
0.60            10.16            0.00              0.00             10.76              9769480.62
3.84            2.29             0.00              0.00             6.13               9769486.75
0.35            2.93             0.00              0.00             3.28               9769490.03
0.33            9.40             0.00              0.00             9.73               9769499.76
3.06            2.70             0.00              0.00             5.76               9769505.52
0.05            2.68             0.00              0.00             2.73               9769508.25
0.04            2.65             0.00              0.00             2.69               9769510.94
0.04            2.13             0.00              0.00             2.17               9769513.11
0.04            2.24             0.00              0.00             2.28               9769515.39
0.04            2.81             0.00              0.00             2.85               9769518.24
0.04            2.76             0.00              0.00             2.80               9769521.04
0.04            2.72             0.00              0.00             2.76               9769523.80
0.04            2.78             0.00              0.00             2.82               9769526.62
0.04            2.65             0.00              0.00             2.69               9769529.31
0.04            2.86             0.00              0.00             2.90               9769532.21
0.04            3.05             0.00              0.00             3.09               9769535.30
0.64            3.41             0.00              0.00             4.05               9769539.35
0.61            3.44             0.00              0.00             4.05               9769543.40
0.64            2.94             0.00              0.00             3.58               9769546.98
0.63            2.49             0.00              0.00             3.12               9769550.10
0.59            3.48             0.00              0.00             4.07               9769554.17
0.66            3.80             0.00              0.00             4.46               9769558.63
0.64            3.76             0.00              0.00             4.40               9769563.03
0.61            8.43             0.00              0.00             9.04               9769572.07
2.04            8.09             0.00              0.00             10.13              9769582.20
1.72            1.91             0.00              0.00             3.63               9769585.83
0.04            3.16             0.00              0.00             3.20               9769589.03
0.04            2.61             0.00              0.00             2.65               9769591.68
0.04            2.94             0.00              0.00             2.98               9769594.66
0.04            3.01             0.00              0.00             3.05               9769597.71
0.04            3.01             0.00              0.00             3.05               9769600.76
0.05            3.42             0.00              0.00             3.47               9769604.23
0.64            3.68             0.00              0.00             4.32               9769608.55
0.62            11.29            0.00              0.00             11.91              9769620.46
3.41            2.91             0.00              0.00             6.32               9769626.78
0.37            2.76             0.00              0.00             3.13               9769629.91
0.33            3.24             0.00              0.00             3.57               9769633.48
0.35            10.27            0.00              0.00             10.62              9769644.10
2.36            3.05             0.00              0.00             5.41               9769649.51
0.04            2.18             0.00              0.00             2.22               9769651.73
0.04            2.61             0.00              0.00             2.65               9769654.38
0.04            3.00             0.00              0.00             3.04               9769657.42
0.04            2.95             0.00              0.00             2.99               9769660.41
0.04            2.91             0.00              0.00             2.95               9769663.36
0.04            3.01             0.00              0.00             3.05               9769666.41
0.06            3.02             0.00              0.00             3.08               9769669.49
0.04            2.95             0.00              0.00             2.99               9769672.48
0.61            3.30             0.00              0.00             3.91               9769676.39
0.62            3.18             0.00              0.00             3.80               9769680.19
0.65            3.68             0.00              0.00             4.33               9769684.52
0.62            3.53             0.00              0.00             4.15               9769688.67
0.61            3.22             0.00              0.00             3.83               9769692.50
0.60            2.70             0.00              0.00             3.30               9769695.80
0.61            3.28             0.00              0.00             3.89               9769699.69
0.64            3.29             0.00              0.00             3.93               9769703.62
0.60            3.26             0.00              0.00             3.86               9769707.48
0.61            2.64             0.00              0.00             3.25               9769710.73
0.63            8.34             0.00              0.00             8.97               9769719.70
0.92            8.10             0.00              0.00             9.02               9769728.72
0.65            2.53             0.00              0.00             3.18               9769731.90
0.04            2.80             0.00              0.00             2.84               9769734.74
0.05            2.70             0.00              0.00             2.75               9769737.49
0.61            9.43             0.00              0.00             10.04              9769747.53
3.28            9.68             0.00              0.00             12.96              9769760.49
3.01            2.49             0.00              0.00             5.50               9769765.99
0.04            1.99             0.00              0.00             2.03               9769768.02
0.04            2.29             0.00              0.00             2.33               9769770.35
0.04            2.50             0.00              0.00             2.54               9769772.89
0.04            2.15             0.00              0.00             2.19               9769775.08
0.04            2.57             0.00              0.00             2.61               9769777.69
0.04            2.70             0.00              0.00             2.74               9769780.43
0.04            2.75             0.00              0.00             2.79               9769783.22
0.04            2.64             0.00              0.00             2.68               9769785.90
0.05            2.71             0.00              0.00             2.76               9769788.66
0.04            2.72             0.00              0.00             2.76               9769791.42
0.04            3.57             0.00              0.00             3.61               9769795.03
0.61            3.04             0.00              0.00             3.65               9769798.68
0.61            3.57             0.00              0.00             4.18               9769802.86
0.60            3.42             0.00              0.00             4.02               9769806.88
0.63            3.20             0.00              0.00             3.83               9769810.71
0.69            2.91             0.00              0.00             3.60               9769814.31
0.65            9.71             0.00              0.00             10.36              9769824.67
2.05            2.55             0.00              0.00             4.60               9769829.27
0.34            3.31             0.00              0.00             3.65               9769832.92
0.34            9.09             0.00              0.00             9.43               9769842.35
1.23            2.92             0.00              0.00             4.15               9769846.50
0.04            3.16             0.00              0.00             3.20               9769849.70
0.04            2.98             0.00              0.00             3.02               9769852.72
0.04            2.99             0.00              0.00             3.03               9769855.75
0.04            9.53             0.00              0.00             9.57               9769865.32
3.32            2.75             0.00              0.00             6.07               9769871.39
0.37            2.18             0.00              0.00             2.55               9769873.94
0.32            3.18             0.00              0.00             3.50               9769877.44
0.36            3.28             0.00              0.00             3.64               9769881.08
0.34            3.23             0.00              0.00             3.57               9769884.65
0.33            3.37             0.00              0.00             3.70               9769888.35
0.33            2.72             0.00              0.00             3.05               9769891.40
0.34            7.67             0.00              0.00             8.01               9769899.41
1.18            2.59             0.00              0.00             3.77               9769903.18
0.04            2.25             0.00              0.00             2.29               9769905.47
0.04            3.00             0.00              0.00             3.04               9769908.51
0.04            2.40             0.00              0.00             2.44               9769910.95
0.05            11.71            0.00              0.00             11.76              9769922.71
3.34            2.53             0.00              0.00             5.87               9769928.58
0.33            3.21             0.00              0.00             3.54               9769932.12
0.37            2.37             0.00              0.00             2.74               9769934.86
0.33            3.25             0.00              0.00             3.58               9769938.44
0.34            2.70             0.00              0.00             3.04               9769941.48
0.33            3.02             0.00              0.00             3.35               9769944.83
0.33            3.26             0.00              0.00             3.59               9769948.42
0.33            3.04             0.00              0.00             3.37               9769951.79
0.34            9.48             0.00              0.00             9.82               9769961.61
0.93            2.72             0.00              0.00             3.65               9769965.26
0.04            2.93             0.00              0.00             2.97               9769968.23
0.04            2.86             0.00              0.00             2.90               9769971.13
0.05            3.18             0.00              0.00             3.23               9769974.36
0.63            8.87             0.00              0.00             9.50               9769983.86
2.74            2.24             0.00              0.00             4.98               9769988.84
0.32            2.76             0.00              0.00             3.08               9769991.92
0.35            2.82             0.00              0.00             3.17               9769995.09
0.34            2.94             0.00              0.00             3.28               9769998.37
0.33            2.88             0.00              0.00             3.21               9770001.58
0.35            2.56             0.00              0.00             2.91               9770004.49
0.32            2.46             0.00              0.00             2.78               9770007.27
0.33            2.94             0.00              0.00             3.27               9770010.54
0.37            2.23             0.00              0.00             2.60               9770013.14
0.36            6.46             0.00              0.00             6.82               9770019.96
0.07            3.42             0.00              0.00             3.49               9770023.45
0.62            2.88             0.00              0.00             3.50               9770026.95
0.65            3.52             0.00              0.00             4.17               9770031.12
0.61            2.71             0.00              0.00             3.32               9770034.44
0.62            9.12             0.00              0.00             9.74               9770044.18
2.04            3.51             0.00              0.00             5.55               9770049.73
0.34            8.55             0.00              0.00             8.89               9770058.62
1.48            3.13             0.00              0.00             4.61               9770063.23
0.04            3.17             0.00              0.00             3.21               9770066.44
0.04            3.13             0.00              0.00             3.17               9770069.61
0.04            2.96             0.00              0.00             3.00               9770072.61
0.04            2.99             0.00              0.00             3.03               9770075.64
0.04            7.54             0.00              0.00             7.58               9770083.22
0.62            3.17             0.00              0.00             3.79               9770087.01
0.60            8.19             0.00              0.00             8.79               9770095.80
2.48            2.76             0.00              0.00             5.24               9770101.04
0.33            2.55             0.00              0.00             2.88               9770103.92
0.34            2.68             0.00              0.00             3.02               9770106.94
0.33            2.70             0.00              0.00             3.03               9770109.97
0.33            7.01             0.00              0.00             7.34               9770117.31
1.18            2.32             0.00              0.00             3.50               9770120.81
0.04            2.17             0.00              0.00             2.21               9770123.02
0.04            2.39             0.00              0.00             2.43               9770125.45
0.04            2.03             0.00              0.00             2.07               9770127.52
0.04            2.42             0.00              0.00             2.46               9770129.98
0.60            3.04             0.00              0.00             3.64               9770133.62
0.60            8.23             0.00              0.00             8.83               9770142.45
2.02            8.07             0.00              0.00             10.09              9770152.54
1.72            2.31             0.00              0.00             4.03               9770156.57
0.05            2.97             0.00              0.00             3.02               9770159.59
0.04            2.12             0.00              0.00             2.16               9770161.75
0.04            3.01             0.00              0.00             3.05               9770164.80
0.04            3.05             0.00              0.00             3.09               9770167.89
0.04            3.06             0.00              0.00             3.10               9770170.99
0.04            2.93             0.00              0.00             2.97               9770173.96
0.63            2.82             0.00              0.00             3.45               9770177.41
0.61            7.66             0.00              0.00             8.27               9770185.68
1.93            2.62             0.00              0.00             4.55               9770190.23
0.36            2.37             0.00              0.00             2.73               9770192.96
0.32            2.36             0.00              0.00             2.68               9770195.64
0.32            2.37             0.00              0.00             2.69               9770198.33
0.32            6.56             0.00              0.00             6.88               9770205.21
0.63            1.85             0.00              0.00             2.48               9770207.69
